# TUFS Basic Mongolian Wordnet	mon http://www.coelang.tufs.ac.jp/mt/mn/	CC BY 4.0
15210045-n	mon:lemma	нэгдүгээр сар
15210045-n	mon:exe	Нэгдүгээр сард цас их орж, их хүйтэн байдаг.
05755883-n	mon:lemma	сурах
05755883-n	mon:exe	Чи ямар сургуульд сурдаг вэ? 
04971928-n	mon:lemma	хүрэн
04971928-n	mon:exe	Аан! Тэр өндөр хүрэн барилга уу? Ямар хэл сурч байна даа? 
15163797-n	mon:lemma	бүтэн сайн өдөр
15163797-n	mon:exe	Дараагийн бүтэн сайн өдөр юу хийх вэ?
15043763-n	mon:lemma	цас
15043763-n	mon:exe	Нэгдүгээр сард цас их орж, их хүйтэн байдаг.
08058098-n	mon:lemma	компани
08058098-n	mon:exe	Хандаа эгч том компанид ажилладаг.
01382086-a	mon:lemma	том
01382086-a	mon:exe	Хандаа эгч том компанид ажилладаг.
01453084-a	mon:lemma	том
01453084-a	mon:exe	Хандаа эгч том компанид ажилладаг.
00527870-a	mon:lemma	том
00527870-a	mon:exe	Хандаа эгч том компанид ажилладаг.
01677433-a	mon:lemma	том
01677433-a	mon:exe	Хандаа эгч том компанид ажилладаг.
10084295-n	mon:lemma	охин
10084295-n	mon:exe	Би охинтойгоо хамт амьдардаг. Манай охин танай хүүгээс 2 насаар дүү юм байна. 
10129825-n	mon:lemma	охин
10129825-n	mon:exe	Би охинтойгоо хамт амьдардаг. Манай охин танай хүүгээс 2 насаар дүү юм байна. 
10129825-n	mon:lemma	эгч
10129825-n	mon:exe	Сая би танай эгчтэй тааралдсан шүү дээ.
00065495-v	mon:lemma	сайн
00065495-v	mon:exe	Танайхан сайн биз дээ?
80001734-n	mon:lemma	хичээл
80001734-n	mon:exe	Багшийн хичээлд сууж байсан уу?
00889472-n	mon:lemma	хичээл
00889472-n	mon:exe	Багшийн хичээлд сууж байсан уу?
02608347-v	mon:lemma	эхлэх
02608347-v	mon:exe	Чимээгүй, жүжиг эхэллээ шүү.
07850329-n	mon:lemma	бяслаг
07850329-n	mon:exe	Монголчууд яаж бяслаг хийдгийг чи мэдэх үү?
03623556-n	mon:lemma	хутга
03623556-n	mon:exe	Эхлээд халбагаар шөлийг уугаад, дараа нь сэрээ хутга хэрэглэж махыг иднэ.
03624134-n	mon:lemma	хутга
03624134-n	mon:exe	Эхлээд халбагаар шөлийг уугаад, дараа нь сэрээ хутга хэрэглэж махыг иднэ.
01776727-v	mon:lemma	дургүй
01776727-v	mon:exe	Дорж ногоотой шөлөнд дургүй.
01774136-v	mon:lemma	дургүй
01774136-v	mon:exe	Дорж ногоотой шөлөнд дургүй.
02783161-n	mon:lemma	бал
02783161-n	mon:exe	Анкетийн хуудсыг нэг бол харандаа, нэг бол хар балаар бөглөнө үү.
02632567-v	mon:lemma	авмаар байна
02632567-v	mon:exe	Аа, тийм үү! Чи төрсөн өдрийн бэлгэнд юу авмаар байна вэ? 
01579608-a	mon:lemma	удахгүй
01579608-a	mon:exe	Тэр удахгүй ирэх байхаа.
03427296-n	mon:lemma	хаалга
03427296-n	mon:exe	Цэнгэлдэх хүрээлэнгийн хаалга бүр дээр олон хүн байжээ.
04026417-n	mon:lemma	түрийвч
04026417-n	mon:exe	Түрийвчээ хаана орхисон юм болоо.
11456462-n	mon:lemma	цэлмэг
11456462-n	mon:exe	Одоо тэнгэр цэлмэг байна.
07848338-n	mon:lemma	масло
07848338-n	mon:exe	Хүнсний дэлгүүрээс 1 кг масло аваад ирэв.
90000501-n	mon:lemma	өнгөрсөн жил
90000501-n	mon:exe	Манай охин өнгөрсөн жил сургуулиа төгсөв.
15210870-n	mon:lemma	гуравдугаар сар
15210870-n	mon:exe	Гуравдугаар сарын найманд юуны баяр тэмдэглэдэг вэ?
77000072-n	mon:lemma	энд
77000072-n	mon:exe	Та сагстай зүйлээ энд тавина уу?
08489497-n	mon:lemma	энд
08489497-n	mon:exe	Та сагстай зүйлээ энд тавина уу?
03561345-n	mon:lemma	зураг
03561345-n	mon:exe	Та энэ зургийг надад тайлбарлаж өгөөч!
03234306-n	mon:lemma	зураг
03234306-n	mon:exe	Та энэ зургийг надад тайлбарлаж өгөөч!
03876519-n	mon:lemma	зураг
03876519-n	mon:exe	Та энэ зургийг надад тайлбарлаж өгөөч!
07110615-n	mon:lemma	дуу
07110615-n	mon:exe	Сууж байсан, Бат багш жаахан сулхан дуутай шүү.
05202284-n	mon:lemma	дуу
05202284-n	mon:exe	Сууж байсан, Бат багш жаахан сулхан дуутай шүү.
09411430-n	mon:lemma	гол
09411430-n	mon:exe	Орхон　голд олон төрлийн загас бий.
15236859-n	mon:lemma	намар
15236859-n	mon:exe	Монголчууд "наадмын дараа намар" гэж ярьдаг.
02107442-v	mon:lemma	асуух
02107442-v	mon:exe	За байз. Би хичээлийн дараа багштай уулзаж юм асууна. Амжихгүй байхаа. 
02169891-v	mon:lemma	асуух
02169891-v	mon:exe	За байз. Би хичээлийн дараа багштай уулзаж юм асууна. Амжихгүй байхаа. 
02242464-v	mon:lemma	худалдах
02242464-v	mon:exe	Их дэлгүүрт оёдолын машин худалддаг уу?
00271022-a	mon:lemma	саруул
00271022-a	mon:exe	Байр нь цэвэрхэн, саруул, тохилог байв.
00396523-a	mon:lemma	саруул
00396523-a	mon:exe	Байр нь цэвэрхэн, саруул, тохилог байв.
00269989-a	mon:lemma	саруул
00269989-a	mon:exe	Байр нь цэвэрхэн, саруул, тохилог байв.
00278551-a	mon:lemma	саруул
00278551-a	mon:exe	Байр нь цэвэрхэн, саруул, тохилог байв.
02924116-n	mon:lemma	автобус
02924116-n	mon:exe	Автобусны билетээ хаанаас авах вэ?
01614426-v	mon:lemma	наах
01614426-v	mon:exe	Үүнд марк наах хэрэгтэй.
80001230-x	mon:lemma	за
80001230-x	mon:exe	За тэгье. Бас энэ захиаг Япон луу явуулах гэсэн юм.
01184932-a	mon:lemma	хүнд
01184932-a	mon:exe	Энэ маш хүнд хайрцаг. Би үүнийг авч явж чадахгүй.
07881800-n	mon:lemma	ундаа
07881800-n	mon:exe	Энд түр зогсооч! Би дэлгүүрээс ундаа аваадхъя.
01119192-a	mon:lemma	сайн
01119192-a	mon:exe	Та оросоор тун сайн ярьж байна. 
02226162-a	mon:lemma	сайн
02226162-a	mon:exe	Та оросоор тун сайн ярьж байна. 
01838916-a	mon:lemma	сайн
01838916-a	mon:exe	Та оросоор тун сайн ярьж байна. 
03467517-n	mon:lemma	гитар
03467517-n	mon:exe	Би долдугаар ангид байхдаа гитар тоглож сурсан.
03613294-n	mon:lemma	түлхүүр
03613294-n	mon:exe	Түлхүүрээ авахаа мартуузай.
01553629-a	mon:lemma	их
01553629-a	mon:exe	Нэгдүгээр сард цас их орж, их хүйтэн байдаг.
01551633-a	mon:lemma	их
01551633-a	mon:exe	Нэгдүгээр сард цас их орж, их хүйтэн байдаг.
01552419-a	mon:lemma	их
01552419-a	mon:exe	Нэгдүгээр сард цас их орж, их хүйтэн байдаг.
00127137-a	mon:lemma	хуучин
00127137-a	mon:exe	Өчигдөр би нэг хуучны ном уишлаа.
01638438-a	mon:lemma	хуучин
01638438-a	mon:exe	Өчигдөр би нэг хуучны ном уишлаа.
01729384-a	mon:lemma	хуучин
01729384-a	mon:exe	Өчигдөр би нэг хуучны ном уишлаа.
10694258-n	mon:lemma	багш
10694258-n	mon:exe	Би одоохондоо багш биш бөгөөд докторант.
07859284-n	mon:lemma	элсэн чихэр
07859284-n	mon:exe	Жаахан элсэн чихэр авмаар байна. Цаасанд боож өгөх үү?
09605289-n	mon:lemma	том хүн
09605289-n	mon:exe	Билетний үнэ нь том хүн 2000 төгрөг, хүүхэд 200 төгрөг болно.
04081281-n	mon:lemma	зоогийн газар
04081281-n	mon:exe	Бүгдээрээ зоогийн газар орж сайхан  хоололцгооё.
04081281-n	mon:lemma	гуанз
04081281-n	mon:exe	Гуанзанд хооллодог юм билүү гэж бодож байна.
10448983-n	mon:lemma	цагдаа
10448983-n	mon:exe	Цагдаа, хүмүүсийг холдуулав. 
10448983-n	mon:lemma	цагдаа
10448983-n	mon:exe	Цагдаа, хүмүүсийг холдуулав. 
90000507-n	mon:lemma	энэ долоо хоног
90000507-n	mon:exe	Миний захиалсан ном энэ долоо хоногт ирнэ.
02686568-n	mon:lemma	нисэх онгоц
02686568-n	mon:exe	Намайг ”Буянт-Ухаа” нисэх онгоцны буудал хүргэж өгнө үү? 
02691156-n	mon:lemma	нисэх онгоц
02691156-n	mon:exe	Намайг ”Буянт-Ухаа” нисэх онгоцны буудал хүргэж өгнө үү? 
08420278-n	mon:lemma	банк
08420278-n	mon:exe	Танай банкинд харилцах данс нээхэд ямар давуу талууд байгаа вэ? 
02787772-n	mon:lemma	банк
02787772-n	mon:exe	Танай банкинд харилцах данс нээхэд ямар давуу талууд байгаа вэ? 
02018049-v	mon:lemma	суух
02018049-v	mon:exe	Таксинд суухгүй бол цагтаа амжихгүйнээ, хурдлаарай!
02324026-v	mon:lemma	зээлэх
02324026-v	mon:exe	Бvх материалууд ганц ганц хувь учир зээлж авсан тохиолдолд ном, сэтгүүлийг болгоомжтой ашиглаж, гэмтээхгүй байх ёстой. 
01447257-v	mon:lemma	дарах
01447257-v	mon:exe	Та энэ товчийг дараад бичих хэлээ сонгож болно. 
02398378-a	mon:lemma	халуун
02398378-a	mon:exe	Чи халуун ногоотой хоол идэж чаддаг уу?
02397732-a	mon:lemma	халуун
02397732-a	mon:exe	Чи халуун ногоотой хоол идэж чаддаг уу?
06628228-n	mon:lemma	ил захидал
06628228-n	mon:exe	Би хоёр дугтуй, дөрвөн ил захидал авъя. 
06627938-n	mon:lemma	ил захидал
06627938-n	mon:exe	Би хоёр дугтуй, дөрвөн ил захидал авъя. 
03959485-n	mon:lemma	таваг
03959485-n	mon:exe	Өчигдөр орой би аяга таваг хагарах　чимээ сонслоо. Юу болсон бэ?
00393105-a	mon:lemma	цагаан
00393105-a	mon:exe	Мэгий сүү шиг цагаан сэтгэлтэй. 
08625073-n	mon:lemma	баруун
08625073-n	mon:exe	Баруун гар талд чинь байна.
03051540-n	mon:lemma	хувцас
03051540-n	mon:exe	Эрэгтэй хүнд хамгийн гоё зохидог хувцас бол пиджак. 
02728440-n	mon:lemma	хувцас
02728440-n	mon:exe	Эрэгтэй хүнд хамгийн гоё зохидог хувцас бол пиджак. 
02728440-n	mon:lemma	хувцас
02728440-n	mon:exe	Эрэгтэй хүнд хамгийн гоё зохидог хувцас бол пиджак. 
03419014-n	mon:lemma	хувцас
03419014-n	mon:exe	Эрэгтэй хүнд хамгийн гоё зохидог хувцас бол пиджак. 
15165289-n	mon:lemma	өглөө
15165289-n	mon:exe	Өнөө өглөө бүрхэг байсан.
15165289-n	mon:lemma	үдээс өмнө
15165289-n	mon:exe	Өчигдөр би үдээс өмнө гэрээ цэвэрлээд үдээс хойш ном уншив.
00109151-r	mon:lemma	тэнд
00109151-r	mon:exe	Тэнд олон оюутан суралцаж байна.
03720163-n	mon:lemma	газрын зураг
03720163-n	mon:exe	Байгаа, та энэ газрын зургийг авна уу? 
00024996-a	mon:lemma	шинэ
00024996-a	mon:exe	Өнөөдөр шинэ хичээл үзнэ.
01642477-a	mon:lemma	шинэ
01642477-a	mon:exe	Өнөөдөр шинэ хичээл үзнэ.
01641648-a	mon:lemma	шинэ
01641648-a	mon:exe	Өнөөдөр шинэ хичээл үзнэ.
01687167-a	mon:lemma	шинэ
01687167-a	mon:exe	Өнөөдөр шинэ хичээл үзнэ.
02584699-a	mon:lemma	шинэ
02584699-a	mon:exe	Өнөөдөр шинэ хичээл үзнэ.
01686439-a	mon:lemma	шинэ
01686439-a	mon:exe	Өнөөдөр шинэ хичээл үзнэ.
02070491-a	mon:lemma	шинэ
02070491-a	mon:exe	Өнөөдөр шинэ хичээл үзнэ.
02013758-a	mon:lemma	шинэ
02013758-a	mon:exe	Өнөөдөр шинэ хичээл үзнэ.
01640850-a	mon:lemma	шинэ
01640850-a	mon:exe	Өнөөдөр шинэ хичээл үзнэ.
00894552-n	mon:lemma	дасгал
00894552-n	mon:exe	Өнөөдрийн хичээлээр бид ярианы дасгал хийлээ.
01292683-a	mon:lemma	таалагдах
01292683-a	mon:exe	Энэ засалт танд таалагдаж байна уу? 
01777210-v	mon:lemma	таалагдах
01777210-v	mon:exe	Энэ засалт танд таалагдаж байна уу? 
03038685-n	mon:lemma	анги
03038685-n	mon:exe	Үдээс хойш намайг сургуульд очиход ангид 2, 3 оюутан л байлаа. 
00296131-r	mon:lemma	байхаа
00296131-r	mon:exe	Хоёр цаг дөхөж байгаа байхаа.
00154449-r	mon:lemma	байхаа
00154449-r	mon:exe	Хоёр цаг дөхөж байгаа байхаа.
03001627-n	mon:lemma	сандал
03001627-n	mon:exe	Тэр өрөөнд ширээ, сандал, ор гээд бүх юм бэлэн байжээ.
01734929-v	mon:lemma	хувилах
01734929-v	mon:exe	Энэ бичгийг хувилаад ирье.
01914947-v	mon:lemma	гүйх
01914947-v	mon:exe	Би гэр үрүү нь гүйгээд очлоо.
01926311-v	mon:lemma	гүйх
01926311-v	mon:exe	Би гэр үрүү нь гүйгээд очлоо.
02005496-v	mon:lemma	харих
02005496-v	mon:exe	Хосчимэг гэртээ харина гэж хэлэв.
04379243-n	mon:lemma	ширээ
04379243-n	mon:exe	Ширээн дээр үнсний сав байна.
04298308-n	mon:lemma	шат
04298308-n	mon:exe	Гуравдугаар давхар уруу энэ шатаар гараарай.
00037919-v	mon:lemma	орох
00037919-v	mon:exe	Ямар халуун өдөр вэ. Одоо усанд оръё.
01532589-v	mon:lemma	цэвэрлэх
01532589-v	mon:exe	Өчигдөр би үдээс өмнө гэрээ цэвэрлээд үдээс хойш ном уншив.
01533442-v	mon:lemma	цэвэрлэх
01533442-v	mon:exe	Өчигдөр би үдээс өмнө гэрээ цэвэрлээд үдээс хойш ном уншив.
07663592-n	mon:lemma	үхрийн мах
07663592-n	mon:exe	2 кило үхрийн мах авъя.
08182962-n	mon:lemma	олон хүн
08182962-n	mon:exe	Тэр жүжгийг олон хүн үзсэн гэнэ.
08182379-n	mon:lemma	олон хүн
08182379-n	mon:exe	Тэр жүжгийг олон хүн үзсэн гэнэ.
80000079-n	mon:lemma	өнгөрсөн сар
80000079-n	mon:exe	Өнгөрсөн сард бөхийн тухай шинэ ном гарлаа.
10020890-n	mon:lemma	эмч
10020890-n	mon:exe	Миний бие тааруухан байна. Энэ хавьд эмч бий юу? 
10305802-n	mon:lemma	эмч
10305802-n	mon:exe	Миний бие тааруухан байна. Энэ хавьд эмч бий юу? 
15136147-n	mon:lemma	долоо хоног
15136147-n	mon:exe	Долоо хоногт хэдэн өдөр ажилладаг вэ?
15169873-n	mon:lemma	долоо хоног
15169873-n	mon:exe	Долоо хоногт хэдэн өдөр ажилладаг вэ?
15211806-n	mon:lemma	зургадугаар сар
15211806-n	mon:exe	Зургадугаар сарын нэгэнд монголчууд Эх үрсийн баярыг тэмдэглэдэг.
04489008-n	mon:lemma	өмд
04489008-n	mon:exe	Ээжээ, миний унтлагны өмдийг хаана хийсэн бэ?
08544813-n	mon:lemma	улс
08544813-n	mon:exe	Төгсөхдөө улсын шалгалт өгч, дипломын ажил бичнэ биз дээ? 
08490199-n	mon:lemma	улс
08490199-n	mon:exe	Төгсөхдөө улсын шалгалт өгч, дипломын ажил бичнэ биз дээ? 
00081737-r	mon:lemma	жил бүр
00081737-r	mon:exe	Үндэсний баяр наадамд жил бүр 512 бөх барилддаг юм.
00018158-v	mon:lemma	босох
00018158-v	mon:exe	Маргааш бид нар өглөө 6 цагт босохгүй бол болохгүй.
05538625-n	mon:lemma	толгой
05538625-n	mon:exe	Толгой эргээд гэдэс өвдөөд байна. 
02418686-v	mon:lemma	тоглох
02418686-v	mon:exe	Хүүхдүүд гадаа тоглож байгаа.
04965661-n	mon:lemma	шар
04965661-n	mon:exe	Шар талын дунд хэдэн цагаан гэр, шар дээл дээр хадсан цагаан товч мэт гялалзан харагдана.
02561888-a	mon:lemma	давчуу
02561888-a	mon:exe	Манай хорооллын гудамжинууд  маш давчуу юм.
00476663-a	mon:lemma	давчуу
00476663-a	mon:exe	Манай хорооллын гудамжинууд  маш давчуу юм.
05137165-n	mon:lemma	өндөр
05137165-n	mon:exe	Хөшөө нь хааш хаашаа нэг метр 80 см, өндөр нь нэг метр 50 см.
05131647-n	mon:lemma	өндөр
05131647-n	mon:exe	Хөшөө нь хааш хаашаа нэг метр 80 см, өндөр нь нэг метр 50 см.
00009966-r	mon:lemma	-на уу
00009966-r	mon:exe	За, та ил захидлаа сонгоно уу?
00009966-r	mon:lemma	зүгээр; зүгээр
00009966-r	mon:lemma	зүгээр; зүгээр
00009966-r	mon:exe	Зүгээр, зүгээр. 
10103485-n	mon:lemma	гадаадын хүн
10103485-n	mon:exe	Би гадаадын хүн. Зам мэдэхгүй, яаж явахыг зааж өгөөч! 
02958343-n	mon:lemma	машин
02958343-n	mon:exe	Ирэх сарын 15-нд, машинаар явна. 
03924069-n	mon:lemma	пянз
03924069-n	mon:exe	Сүүлийн үед хүмүүс пянз тоглуулагчаар хөгжим сонсохоо больжээ.
10332385-n	mon:lemma	ээж
10332385-n	mon:exe	Манай ээж англи хэлтэй.
10332385-n	mon:lemma	ээж
10332385-n	mon:exe	Ээжээ, миний унтлагны өмдийг хаана хийсэн бэ?
02410855-v	mon:lemma	ажиллах
02410855-v	mon:exe	Чи хаана ажилладаг вэ? 
07668702-n	mon:lemma	гахайн мах
07668702-n	mon:exe	Би гахайн мах бага иддэг.
13836136-n	mon:lemma	баруун
13836136-n	mon:exe	4-р давхарын баруун жигүүрт монгол номууд бий. 
02368336-a	mon:lemma	чихэрлэг
02368336-a	mon:exe	Ажил хийгээд ядарсан үед зайрмаг ч юмуу чихэрлэг зүйл идэхээр сэтгэл сайхан болдог.
04254777-n	mon:lemma	оймс
04254777-n	mon:exe	Гадаа хүйтэн шүү. Оймс өмсөөд яваарай!
01845229-v	mon:lemma	аялах
01845229-v	mon:exe	Чи аялах дуртай юу? 
01846916-v	mon:lemma	аялах
01846916-v	mon:exe	Чи аялах дуртай юу? 
01845720-v	mon:lemma	аялах
01845720-v	mon:exe	Чи аялах дуртай юу? 
10112591-n	mon:lemma	найз
10112591-n	mon:exe	Найз нартайгаа ойрхон ууланд явж цанаар гулгана. 
08588294-n	mon:lemma	дотор
08588294-n	mon:exe	Автобусан дотор билет таслагч бий.
08588152-n	mon:lemma	дотор
08588152-n	mon:exe	Автобусан дотор билет таслагч бий.
77000021-n	mon:lemma	чи
77000021-n	mon:exe	Чи шугамын радио гэдэг юм мэдэхгүй юм уу?
77000021-n	mon:lemma	та
77000021-n	mon:exe	Та ямар хэлээр ярьдаг вэ?
02771169-v	mon:lemma	цэлмэг болох
02771169-v	mon:exe	Нар мандах үеэр манантай байвал өдөртөө цэлмэг бүгчим болно. 
77000061-a	mon:lemma	энэ
77000061-a	mon:exe	Энэ захиа хэд хоноод хүрэх вэ?
80001619-a	mon:lemma	энэ
80001619-a	mon:exe	Энэ захиа хэд хоноод хүрэх вэ?
77000075-a	mon:lemma	энэ
77000075-a	mon:exe	Энэ захиа хэд хоноод хүрэх вэ?
04018667-n	mon:lemma	бие засах газар
04018667-n	mon:exe	Бие засах газар хаа байна вэ?
08649345-n	mon:lemma	өргөөш
08649345-n	mon:exe	Төсөлд зааснаар талбай нь уртаашаа 400 м, өргөөшөө 350 м юм байна.
08649345-n	mon:lemma	хажуу
08649345-n	mon:exe	Гэртээ очтол ээж маань зуухны хажууд сууж байлаа.
08649345-n	mon:lemma	хажуу
08649345-n	mon:exe	Талбайн хажууд бас нэг шинэ зочид буудал бариж байна.
05136150-n	mon:lemma	өргөөш
05136150-n	mon:exe	Төсөлд зааснаар талбай нь уртаашаа 400 м, өргөөшөө 350 м юм байна.
15211484-n	mon:lemma	тавдугаар сар
15211484-n	mon:exe	Тавдугаар сард шинэ багш ирэх гэнэ.
05563770-n	mon:lemma	гар
05563770-n	mon:exe	Хүмүүс Дашийг Доржийн баруун гар гэж нэрлэдэг.
15165490-n	mon:lemma	үд
15165490-n	mon:exe	Өчигдөр би үд болтол унтлаа.
04272054-n	mon:lemma	нүдний шил
04272054-n	mon:exe	Тэр нүдний шилтэй залуу хэн бэ?
80000746-n	mon:lemma	ханз
80000746-n	mon:exe	Уучлаарай, би ханз сайн уншиж чадахгүй болохоор та надад туслана  уу? 
10287213-n	mon:lemma	эрэгтэй
10287213-n	mon:exe	Эрэгтэй хүнд хамгийн гоё зохидог хувцас бол пиджак. 
