# TUFS Basic Mongolian Wordnet	mon http://www.coelang.tufs.ac.jp/mt/mn/	CC BY 4.0
01442186-a	mon:lemma	богино
01442186-a	mon:exe	"Богино хугацаа" ангиллын виз авахад урилга хэрэггүй болсон байх аа.
01436003-a	mon:lemma	богино
01436003-a	mon:exe	"Богино хугацаа" ангиллын виз авахад урилга хэрэггүй болсон байх аа.
01442826-a	mon:lemma	богино
01442826-a	mon:exe	"Богино хугацаа" ангиллын виз авахад урилга хэрэггүй болсон байх аа.
14513694-n	mon:lemma	айл
14513694-n	mon:exe	Япон айлд орохдоо үүдэнд нь гутлаа тайлаад гэрийн шаахайнаас өмсөөрөй.
02808440-n	mon:lemma	угаалгын өрөө
02808440-n	mon:exe	Энэ оюутны байр давхар бүртээ угаалгын өрөөтэй.
02807731-n	mon:lemma	угаалгын өрөө
02807731-n	mon:exe	Энэ оюутны байр давхар бүртээ угаалгын өрөөтэй.
15274074-n	mon:lemma	амралт
15274074-n	mon:exe	Би энэ зуны амралтаар Герман мерманд очно.
15183428-n	mon:lemma	амралт
15183428-n	mon:exe	Би энэ зуны амралтаар Герман мерманд очно.
15137890-n	mon:lemma	амралт
15137890-n	mon:exe	Би энэ зуны амралтаар Герман мерманд очно.
00027918-r	mon:lemma	арай болоогүй
00027918-r	mon:exe	Таныг эмнэлгээс гаргах арай болоогүй шүү.
00031304-r	mon:lemma	арай болоогүй
00031304-r	mon:exe	Таныг эмнэлгээс гаргах арай болоогүй шүү.
03925226-n	mon:lemma	гэрэл зураг
03925226-n	mon:exe	Би марк цуглуулдаг бас байгалийн гэрэл зураг их сонирхдог.
03931044-n	mon:lemma	гэрэл зураг
03931044-n	mon:exe	Би марк цуглуулдаг бас байгалийн гэрэл зураг их сонирхдог.
04248607-n	mon:lemma	гэрэл зураг
04248607-n	mon:exe	Би марк цуглуулдаг бас байгалийн гэрэл зураг их сонирхдог.
15164233-n	mon:lemma	гуравдахь өдөр
15164233-n	mon:exe	Гуравдахь өдөр тооны хичээлтэй юү?
11524662-n	mon:lemma	цаг агаар
11524662-n	mon:exe	Цаг агаарын мэдээ сонссон уу? 
07193184-n	mon:lemma	асуулт
07193184-n	mon:exe	Асуултанд хариулахдаа гараа өргөөрөй.
07196682-n	mon:lemma	асуулт
07196682-n	mon:exe	Асуултанд хариулахдаа гараа өргөөрөй.
05797597-n	mon:lemma	асуулт
05797597-n	mon:exe	Асуултанд хариулахдаа гараа өргөөрөй.
07193596-n	mon:lemma	асуулт
07193596-n	mon:exe	Асуултанд хариулахдаа гараа өргөөрөй.
01904930-v	mon:lemma	алхах
01904930-v	mon:exe	Алхвал нилээн хол шүү. 
03383948-n	mon:lemma	сэрээ
03383948-n	mon:exe	Эхлээд халбагаар шөлийг уугаад, дараа нь сэрээ хутга хэрэглэж махыг иднэ.
01000214-v	mon:lemma	бичих
01000214-v	mon:exe	Энэ хүүхэд сайн ярьдаг мөртлөө бичихдээ муу.
02471690-v	mon:lemma	бичих
02471690-v	mon:exe	Энэ хүүхэд сайн ярьдаг мөртлөө бичихдээ муу.
01020356-v	mon:lemma	бичих
01020356-v	mon:exe	Энэ хүүхэд сайн ярьдаг мөртлөө бичихдээ муу.
01691057-v	mon:lemma	бичих
01691057-v	mon:exe	Энэ хүүхэд сайн ярьдаг мөртлөө бичихдээ муу.
01698271-v	mon:lemma	бичих
01698271-v	mon:exe	Энэ хүүхэд сайн ярьдаг мөртлөө бичихдээ муу.
01020934-v	mon:lemma	бичих
01020934-v	mon:exe	Энэ хүүхэд сайн ярьдаг мөртлөө бичихдээ муу.
00993014-v	mon:lemma	бичих
00993014-v	mon:exe	Энэ хүүхэд сайн ярьдаг мөртлөө бичихдээ муу.
03822171-n	mon:lemma	сонин
03822171-n	mon:exe	Энэ тухай өдөр тутмын нэгэн сонины өчигдрийн дугаарт мэдээлсэн байна.
06267145-n	mon:lemma	сонин
06267145-n	mon:exe	Энэ тухай өдөр тутмын нэгэн сонины өчигдрийн дугаарт мэдээлсэн байна.
14961722-n	mon:lemma	сонин
14961722-n	mon:exe	Энэ тухай өдөр тутмын нэгэн сонины өчигдрийн дугаарт мэдээлсэн байна.
07197021-n	mon:lemma	шалгалт
07197021-n	mon:exe	Танай анги энэ хавар ямар ямар шалгалт өгөх вэ?
00158309-r	mon:lemma	яг
00158309-r	mon:exe	Яг хэд болж байна?
00002621-r	mon:lemma	яг
00002621-r	mon:exe	Яг хэд болж байна?
00002950-r	mon:lemma	яг
00002950-r	mon:exe	Яг хэд болж байна?
13714184-n	mon:lemma	хэм
13714184-n	mon:exe	Гадаа хэдэн хэм байна вэ?
00119568-n	mon:lemma	үсрэх
00119568-n	mon:exe	Тэр хүүхэд хоёр давхраас үсэрч буулаа.
08145553-n	mon:lemma	шуудан
08145553-n	mon:exe	Төв шуудангаас олон сайхан марк аваад ирлээ.
15237044-n	mon:lemma	хавар
15237044-n	mon:exe	Танай анги энэ хавар ямар ямар шалгалт өгөх вэ?
01270199-v	mon:lemma	угаах
01270199-v	mon:exe	Би хувцсаа өөрөө угаадаг.
06505517-n	mon:lemma	хуулбар
06505517-n	mon:exe	Зөвшөөрөл авахад оюутны үнэмлэхийн хуулбар хэрэгтэй.
15166462-n	mon:lemma	орой
15166462-n	mon:exe	Тэгье. Би маргааш орой концерт үзмээр байна. Хоёулаа үзэх үү? 
15166462-n	mon:lemma	өчигдөр орой
15166462-n	mon:exe	Билет дууссан байсан учир  өчигдөр орой жүжиг үзсэнгүй. 
01343918-a	mon:lemma	сонирхолтой
01343918-a	mon:exe	Их сонирхолтой.
01344344-a	mon:lemma	сонирхолтой
01344344-a	mon:exe	Их сонирхолтой.
01344344-a	mon:lemma	хөгжилтэй
01344344-a	mon:exe	Наадмаар нэг хөгжилтэй явдал боллоо. 
01265308-a	mon:lemma	сонирхолтой
01265308-a	mon:exe	Их сонирхолтой.
01344485-a	mon:lemma	сонирхолтой
01344485-a	mon:exe	Их сонирхолтой.
00067045-r	mon:lemma	эхлээд
00067045-r	mon:exe	Эхлээд өрөөг чинь үзэж болох уу?
00067265-r	mon:lemma	эхлээд
00067265-r	mon:exe	Эхлээд өрөөг чинь үзэж болох уу?
90000515-n	mon:lemma	нөгөөдөр
90000515-n	mon:exe	Нөгөөдөр манай дүүгийн төрсөн өдөр.
01296462-v	mon:lemma	хавсаргах
01296462-v	mon:exe	Өргөдөл дээрээ зургаа хавсаргана уу.
01801029-a	mon:lemma	хөгжилтэй
01801029-a	mon:exe	Наадмаар нэг хөгжилтэй явдал боллоо. 
03906997-n	mon:lemma	үзэг
03906997-n	mon:exe	Та үзгээ түр өгөөч? 
77000095-n	mon:lemma	хэн
77000095-n	mon:exe	Таныг хэн гэдэг вэ?
77000095-n	mon:lemma	хэн
77000095-n	mon:exe	Хэн бэ? Хэнтэй ярих вэ?
90000500-n	mon:lemma	уржнан
90000500-n	mon:exe	Уржнан, Дулмаа хүүхдүүдээ дагуулаад хотод орж ирсэн. 
03221720-n	mon:lemma	хаалга
03221720-n	mon:exe	Хэн нэгэн хүн хаалга тогшиж байна.
03221720-n	mon:lemma	хаалга
03221720-n	mon:exe	Хаалгаа хаагаад яваач!
00050681-r	mon:lemma	байхгүй
00050681-r	mon:exe	Тийм газар манай хотын хаана ч байхгүй.
00024587-r	mon:lemma	байхгүй
00024587-r	mon:exe	Тийм газар манай хотын хаана ч байхгүй.
77000012-n	mon:lemma	би
77000012-n	mon:exe	Би хорин настай.
77000015-n	mon:lemma	би
77000015-n	mon:exe	Би хорин настай.
01344963-a	mon:lemma	сонирхолгүй
01344963-a	mon:exe	Энэ сэтгүүл огтхон ч сонирхолгүй шүү дээ.
01170052-v	mon:lemma	уух
01170052-v	mon:exe	За байз, юу иддэг юм билээ...  Чи юу уух вэ? 
03282295-n	mon:lemma	элчин сайдын яам
03282295-n	mon:exe	Японы элчин сайдын яам хаана байдаг вэ?
14145501-n	mon:lemma	ханиад
14145501-n	mon:exe	Нимгэн хувцастай гадаа гарснаас болж ханиад хүрчээ.
06796119-n	mon:lemma	марк
06796119-n	mon:exe	Би марк цуглуулдаг бас байгалийн гэрэл зураг их сонирхдог.
07775375-n	mon:lemma	загас
07775375-n	mon:exe	Орхон　голд олон төрлийн загас бий.
02512053-n	mon:lemma	загас
02512053-n	mon:exe	Орхон　голд олон төрлийн загас бий.
01586866-a	mon:lemma	сайн
01586866-a	mon:exe	Харин тийм, их сайн багш.
01048762-a	mon:lemma	сайн
01048762-a	mon:exe	Харин тийм, их сайн багш.
00067638-a	mon:lemma	сайн
00067638-a	mon:exe	Харин тийм, их сайн багш.
01993408-a	mon:lemma	сайн
01993408-a	mon:exe	Харин тийм, их сайн багш.
01171213-a	mon:lemma	сайн
01171213-a	mon:exe	Харин тийм, их сайн багш.
01800349-a	mon:lemma	сайн
01800349-a	mon:exe	Харин тийм, их сайн багш.
01123148-a	mon:lemma	сайн
01123148-a	mon:exe	Харин тийм, их сайн багш.
00064787-a	mon:lemma	сайн
00064787-a	mon:exe	Харин тийм, их сайн багш.
00850183-a	mon:lemma	сайн
00850183-a	mon:exe	Харин тийм, их сайн багш.
01129977-a	mon:lemma	сайн
01129977-a	mon:exe	Харин тийм, их сайн багш.
01586752-a	mon:lemma	сайн
01586752-a	mon:exe	Харин тийм, их сайн багш.
04588365-n	mon:lemma	цонх
04588365-n	mon:exe	Цонх онгойлгоод агаар оруулаач!
04587648-n	mon:lemma	цонх
04587648-n	mon:exe	Цонх онгойлгоод агаар оруулаач!
05216365-n	mon:lemma	бие
05216365-n	mon:exe	Миний бие тааруухан байна. Энэ хавьд эмч бий юу? 
76100002-x	mon:lemma	хуудас
76100002-x	mon:exe	Багш цүнхнээсээ хоёр хуудас цаас, үзэг гаргаад ширээн дээр тавив.
04967191-n	mon:lemma	ногоон
04967191-n	mon:exe	Хандаа хоёр ногоон харандаатай байжээ.
80001047-v	mon:lemma	үхэх
80001047-v	mon:exe	Өнгөрсөн жилийн зуднаар олон мал үхжээ.
03497657-n	mon:lemma	малгай
03497657-n	mon:exe	Өвөл цагт малгайгүй явбал даарна.
15129927-n	mon:lemma	цаг
15129927-n	mon:exe	10 цагийн үед ирэх байх, чи гар утас уруу нь залгахгүй юу?
00546389-n	mon:lemma	дуу
00546389-n	mon:exe	Би монгол ардын дуунд дуртай болчихлоо.
07048000-n	mon:lemma	дуу
07048000-n	mon:exe	Би монгол ардын дуунд дуртай болчихлоо.
01842204-v	mon:lemma	явах
01842204-v	mon:exe	Суралцахаар аа? Баяр хүргэе! Хэзээ явах вэ? 
04241394-n	mon:lemma	шаахай
04241394-n	mon:exe	Япон айлд орохдоо үүдэнд нь гутлаа тайлаад гэрийн шаахайнаас өмсөөрөй.
05301908-n	mon:lemma	ам
05301908-n	mon:exe	Бичгээр үү, амаар уу?
02440250-n	mon:lemma	гар
02440250-n	mon:exe	Баруун гар талд чинь байна.
09823502-n	mon:lemma	эгч
09823502-n	mon:exe	Одоо би эгчийндээ очно.
10193967-n	mon:lemma	нөхөр
10193967-n	mon:exe	Миний нөхөр эмч.
15213406-n	mon:lemma	арван нэгдүгээр сар
15213406-n	mon:exe	Ер нь арван нэгдүгээр сард цас ордог уу?
06277280-n	mon:lemma	телевиз
06277280-n	mon:exe	Миний дүү телевиз үзэх дуртай.
13831176-n	mon:lemma	хойд
13831176-n	mon:exe	Маргааш төвийн нутгийн хойд хэсгээр бороо орно.
06964901-n	mon:lemma	монгол хэл
06964901-n	mon:exe	Би орос, монгол хэлээр ярьдаг.
01318741-a	mon:lemma	өвдөх
01318741-a	mon:exe	Яг хаана нь, юу өвдөөд байна вэ? 
01712753-a	mon:lemma	өвдөх
01712753-a	mon:exe	Яг хаана нь, юу өвдөөд байна вэ? 
05395690-n	mon:lemma	гэдэс
05395690-n	mon:exe	Толгой эргээд гэдэс өвдөөд байна. 
05556943-n	mon:lemma	гэдэс
05556943-n	mon:exe	Толгой эргээд гэдэс өвдөөд байна. 
02324478-v	mon:lemma	нэмэх
02324478-v	mon:exe	Түүний үгэн дээр би нэг зүйл нэмж хэлье.
00640828-v	mon:lemma	нэмэх
00640828-v	mon:exe	Түүний үгэн дээр би нэг зүйл нэмж хэлье.
00182406-v	mon:lemma	нэмэх
00182406-v	mon:exe	Түүний үгэн дээр би нэг зүйл нэмж хэлье.
00749230-a	mon:lemma	амархан
00749230-a	mon:exe	Одоогийн залуучууд ер бусын үзэгдэлд амархан итгэчихдэг юм шиг байна.
14061805-n	mon:lemma	өвчин
14061805-n	mon:exe	Миний өвчин сүрьеэ биш байсан.
14055408-n	mon:lemma	өвчин
14055408-n	mon:exe	Миний өвчин сүрьеэ биш байсан.
14473054-n	mon:lemma	өвчин
14473054-n	mon:exe	Миний өвчин сүрьеэ биш байсан.
10399491-n	mon:lemma	аав ээж
10399491-n	mon:exe	Та нар аав ээжтэйгээ сайн зөвлө.
13833375-n	mon:lemma	өмнө
13833375-n	mon:exe	Хубилай хаан Монгол гүрний улс төрийн төвийг өмнө зүг Бээжин үрүү шилжүүлжээ.
02472293-n	mon:lemma	хүн
02472293-n	mon:exe	Өөр хүн ирж нүүлгэлцэх үү?
15212167-n	mon:lemma	долдугаар сар
15212167-n	mon:exe	Үндэсний их баяр наадам жил бүрийн долдугаар сард болдог.
00442917-a	mon:lemma	хол
00442917-a	mon:exe	Эндээс хол уу ойрхон уу? 
01421622-v	mon:lemma	хийх
01421622-v	mon:exe	Цайндаа сүү хийх үү, нимбэг хийх үү?
03398467-n	mon:lemma	өмнө
03398467-n	mon:exe	Тийм, энэ сэдвээ орчуулахаасаа өмнө, самбар дахь шинэ үгийг бичиж аваарай!
00254978-r	mon:lemma	сар бүр
00254978-r	mon:exe	Сар бүр тэтгэлэг авч оюутны байранд амьдрана. 
77000091-n	mon:lemma	ямар
77000091-n	mon:exe	Японы түүхийн ямар ном авах гэсэн юм бэ? 
06605897-n	mon:lemma	утга
06605897-n	mon:exe	Энэ ямар утгатай вэ?
05919866-n	mon:lemma	утга
05919866-n	mon:exe	Энэ ямар утгатай вэ?
06601327-n	mon:lemma	утга
06601327-n	mon:exe	Энэ ямар утгатай вэ?
04059701-n	mon:lemma	ар
04059701-n	mon:exe	Энэ ер болж байна, гэхдээ ар талаас нь сайн нимгэлчихээрэй! 
02767665-n	mon:lemma	ар
02767665-n	mon:exe	Энэ ер болж байна, гэхдээ ар талаас нь сайн нимгэлчихээрэй! 
03540595-n	mon:lemma	эмнэлэг
03540595-n	mon:exe	Улсын нэгдсэн 2-р эмнэлэгт ажилладаг.
08054417-n	mon:lemma	эмнэлэг
08054417-n	mon:exe	Улсын нэгдсэн 2-р эмнэлэгт ажилладаг.
05311054-n	mon:lemma	нүд
05311054-n	mon:exe	Би тэр үеийн үйл явдлыг нүдээр үзэж , биеэр оролцож байсан хүмүүсийн нэг шүү.
05316025-n	mon:lemma	нүд
05316025-n	mon:exe	Би тэр үеийн үйл явдлыг нүдээр үзэж , биеэр оролцож байсан хүмүүсийн нэг шүү.
02871439-n	mon:lemma	номын тавиур
02871439-n	mon:exe	Номын тавиураас дуртай номоо авч уншаарай!
01186408-a	mon:lemma	хөнгөн
01186408-a	mon:exe	Өнөөдөр хөнгөн жингийн эмэгтэйчүүдийн чөлөөт бөхийн тэмцээн болно. 
04049098-n	mon:lemma	буудал
04049098-n	mon:exe	Эндээс автобусаар таван буудал яваад, автобусны буудлаасаа гурван минут хиртэй алхдаг.
03030663-n	mon:lemma	тамхи
03030663-n	mon:exe	Тамхи татдаг, өтгөн байхуу цай, кофе уудаг хүмүүсийн шүд амархан шарладаг. 
02230772-v	mon:lemma	өгөх
02230772-v	mon:exe	Би чиний номыг Батад өгчихсөн шүү.
90000504-n	mon:lemma	хойтонгийн хойтон жил
90000504-n	mon:exe	Болд хойтонгийн хойтон жил япон явах санаатай.
00729108-n	mon:lemma	гэрийн даалгавар
00729108-n	mon:exe	Орсон, чиний гэрийн даалгаварыг би авсан шүү. 
03815615-n	mon:lemma	зангиа
03815615-n	mon:exe	Костюмныхаа өнгөнөөс илүү бараан цамц, бас түүнээс илүү цайвар зангиа зүүж болохгүй
07596684-n	mon:lemma	чихэр
07596684-n	mon:exe	За, одоо чихэр ид.
05560787-n	mon:lemma	хөл
05560787-n	mon:exe	Бага байхдаа  би хөл нүцгэн гүйдэг байлаа. 
05563266-n	mon:lemma	хөл
05563266-n	mon:exe	Бага байхдаа  би хөл нүцгэн гүйдэг байлаа. 
15211189-n	mon:lemma	дөрөвдүгээр сар
15211189-n	mon:exe	Японд хичээлийн шинэ жил дөрөвдүгээр сард эхэлдэг.\n
02310007-v	mon:lemma	буцаах
02310007-v	mon:exe	Уншигч нь номын санд байгаа номыг уншлагын танхимаар төлбөргvй авч, тодорхой хугацаагаар ашиглаад, буцааж өгдөг.
01308381-v	mon:lemma	буцаах
01308381-v	mon:exe	Уншигч нь номын санд байгаа номыг уншлагын танхимаар төлбөргvй авч, тодорхой хугацаагаар ашиглаад, буцааж өгдөг.
80001595-v	mon:lemma	буцаах
80001595-v	mon:exe	Уншигч нь номын санд байгаа номыг уншлагын танхимаар төлбөргvй авч, тодорхой хугацаагаар ашиглаад, буцааж өгдөг.
10080869-n	mon:lemma	аав
10080869-n	mon:exe	Аав маргааш аймаг очно.
10080869-n	mon:lemma	аав
10080869-n	mon:exe	Манай аав аймгийн арслан цолтой хүн байж билээ.
02411224-a	mon:lemma	бүдүүн
02411224-a	mon:exe	Манай аав бүдүүн хүзүүтэй.
04446276-n	mon:lemma	бие засах газар
04446276-n	mon:exe	Бие засах газар орсны дараа гараа сайн угаах хэрэгтэй.
04555291-n	mon:lemma	бие засах газар
04555291-n	mon:exe	Бие засах газар орсны дараа гараа сайн угаах хэрэгтэй.
15212455-n	mon:lemma	наймдугаар сар
15212455-n	mon:exe	Наймдугаар сард би зуны амралтаа авна.
00292937-a	mon:lemma	зав муутай
00292937-a	mon:exe	Манай ээж одоогоор зав муутай байх шиг байна.
00273082-a	mon:lemma	харанхуй
00273082-a	mon:exe	Цахилгаан тасраад гэв гэнэт харанхуй болжээ.
03291819-n	mon:lemma	дугтуй
03291819-n	mon:exe	Би хоёр дугтуй, дөрвөн ил захидал авъя. 
80001545-n	mon:lemma	хажуу
80001545-n	mon:exe	Талбайн хажууд бас нэг шинэ зочид буудал бариж байна.
09215315-n	mon:lemma	доошоо
09215315-n	mon:exe	Орой, унтахынхаа өмнө хүзүүгээ угаахдаа дээрээс нь доошоо, доороос нь дээшээ массаж хийгээрэй. 
80001661-n	mon:lemma	доошоо
80001661-n	mon:exe	Орой, унтахынхаа өмнө хүзүүгээ угаахдаа дээрээс нь доошоо, доороос нь дээшээ массаж хийгээрэй. 
00523513-n	mon:lemma	спорт
00523513-n	mon:exe	Мөнхөө, чи ямар спортод дуртай вэ?
03179701-n	mon:lemma	ширээ
03179701-n	mon:exe	Тэр өрөөнд ширээ, сандал, ор гээд бүх юм бэлэн байжээ.
04202417-n	mon:lemma	дэлгүүр
04202417-n	mon:exe	Бат талх авахаар дэлгүүрт очив.
02016062-v	mon:lemma	буух
02016062-v	mon:exe	Та, энэ автобусанд суугаад таван буудал яваад буухад байгаа. 
15237782-n	mon:lemma	өвөл
15237782-n	mon:exe	Гэрт зундаа сэрүүхэн, өвөлдөө дулаахан байдаг.
80001691-n	mon:lemma	дээр
80001691-n	mon:exe	Орой, унтахынхаа өмнө хүзүүгээ угаахдаа дээрээс нь доошоо, доороос нь дээшээ массаж хийгээрэй. 
08663354-n	mon:lemma	дээр
08663354-n	mon:exe	Орой, унтахынхаа өмнө хүзүүгээ угаахдаа дээрээс нь доошоо, доороос нь дээшээ массаж хийгээрэй. 
07804323-n	mon:lemma	хоол
07804323-n	mon:exe	Үдийн хоолоо яах вэ?
15245990-n	mon:lemma	хоол
15245990-n	mon:exe	Үдийн хоолоо яах вэ?
90000417-n	mon:lemma	хоол
90000417-n	mon:exe	Үдийн хоолоо яах вэ?
07575076-n	mon:lemma	үдийн хоол
07575076-n	mon:exe	Үдийн хоолоо яах вэ?
15156001-n	mon:lemma	өнөөдөр
15156001-n	mon:exe	Өнөөдөр хэн багш орох　вэ?
09604981-n	mon:lemma	өөрөө
09604981-n	mon:exe	Чи өөрөө барилддаг уу?
07557434-n	mon:lemma	хоол
07557434-n	mon:exe	Энэ сайхан хоолтой газар шүү.
02395115-a	mon:lemma	амттай
02395115-a	mon:exe	Төмсийг амттай шарж болгохын тулд 2-3 минут урьдчилан халуун бүлээн усанд байлгана.
02396720-a	mon:lemma	амттай
02396720-a	mon:exe	Төмсийг амттай шарж болгохын тулд 2-3 минут урьдчилан халуун бүлээн усанд байлгана.
