# TUFS Basic Malay Wordnet	zsm http://www.coelang.tufs.ac.jp/mt/ms/	CC BY 4.0
15167474-n	zsm:exe	Pasar raya sana buka pada waktu malam juga.
03438257-n	zsm:lemma	gelas
03438257-n	zsm:exe	Selepas minum, saya basuh gelas sehingga bersih.
08613593-n	zsm:lemma	luar
08613593-n	zsm:exe	Di luar sejuk? 
03338821-n	zsm:lemma	filem
03338821-n	zsm:exe	Saya memasukkan filem ke dalam kamera.
06613686-n	zsm:lemma	filem
06613686-n	zsm:exe	Saya memasukkan filem ke dalam kamera.
06613686-n	zsm:lemma	filem
06613686-n	zsm:exe	Filem yang saya tengok semalam itu sangat menarik. 
06262567-n	zsm:lemma	filem
06262567-n	zsm:exe	Saya memasukkan filem ke dalam kamera.
04096066-n	zsm:lemma	jalan
04096066-n	zsm:exe	Oleh sebab jalan ini sangat sempit, ia berbahaya.
77000079-a	zsm:lemma	itu
77000079-a	zsm:exe	Orang itu ialah Encik Kobayashi.
14524198-n	zsm:lemma	mendung
14524198-n	zsm:exe	Semalam sepanjang hari mendung.
13828795-n	zsm:lemma	lébar; menegak
13828795-n	zsm:lemma	lébar; menegak
13828795-n	zsm:exe	Saya memotong kertas ini secara menegak.
00543233-n	zsm:lemma	muzik
00543233-n	zsm:exe	Saya suka muzik. 
05718556-n	zsm:lemma	muzik
05718556-n	zsm:exe	Saya suka muzik. 
05718935-n	zsm:lemma	muzik
05718935-n	zsm:exe	Saya suka muzik. 
07020895-n	zsm:lemma	muzik
07020895-n	zsm:exe	Saya suka muzik. 
00409709-r	zsm:lemma	dekat
00409709-r	zsm:exe	Sekolah terletak di kawasan dekat dengan rumah.
08641113-n	zsm:lemma	dekat
08641113-n	zsm:exe	Sekolah terletak di kawasan dekat dengan rumah.
03112099-n	zsm:lemma	koridor
03112099-n	zsm:exe	Saya membersihkan bahagian pintu masuk rumah dan juga koridor.
03661043-n	zsm:lemma	perpustakaan
03661043-n	zsm:exe	Saya ingin belajar di perpustakaan tapi tutup. 
07840804-n	zsm:lemma	telur
07840804-n	zsm:exe	Saya makan roti dan telur setiap pagi.
90000502-n	zsm:lemma	tahun ini
90000502-n	zsm:exe	Saya datang ke Jepun pada lima belas hari bulan Mac tahun ini .
03908204-n	zsm:lemma	pénsél
03908204-n	zsm:exe	Encik Matsui meminjamkan pensel kepada saya. 
14796748-n	zsm:lemma	pénsél
14796748-n	zsm:exe	Encik Matsui meminjamkan pensel kepada saya. 
05282433-n	zsm:lemma	gigi
05282433-n	zsm:exe	Saya gosok gigi selepas makan nasi.
05282746-n	zsm:lemma	gigi
05282746-n	zsm:exe	Saya gosok gigi selepas makan nasi.
01649720-a	zsm:lemma	muda
01649720-a	zsm:exe	Orang yang muda dan ceria itu adalah Encik Yamada.
01646941-a	zsm:lemma	muda
01646941-a	zsm:exe	Orang yang muda dan ceria itu adalah Encik Yamada.
00514884-a	zsm:lemma	seluruh; sapanjang
00514884-a	zsm:lemma	seluruh; sapanjang
00514884-a	zsm:exe	Saya ingin melancong ke seluruh Jepun. 
00988232-a	zsm:lemma	kurus
00988232-a	zsm:exe	Oleh sebab saya berlari setiap pagi, saya sudah kurus sedikit.
77000084-n	zsm:lemma	yang mana; mana
77000084-n	zsm:lemma	yang mana; mana
77000084-n	zsm:exe	Encik Yamada ingin makan yang mana?
00220082-a	zsm:lemma	cantik; bersih
00220082-a	zsm:lemma	cantik; bersih
00220082-a	zsm:exe	Warna lukisan ini cantik.
01586342-a	zsm:lemma	cantik; bersih
01586342-a	zsm:lemma	cantik; bersih
01586342-a	zsm:exe	Warna lukisan ini cantik.
01586342-a	zsm:lemma	bagus
01586342-a	zsm:exe	Filem ini tidak berapa bagus.
01346003-v	zsm:lemma	buka
01346003-v	zsm:exe	Oleh sebab panas, saya buka tingkap.
09853467-n	zsm:lemma	abang
09853467-n	zsm:exe	Saya seorang pelajar tetapi abang saya pula pekerja syarikat. 
09853467-n	zsm:lemma	abang
09853467-n	zsm:exe	Abang Encik Lee akan datang bermain di Jepun pada minggu depan.
03102654-n	zsm:lemma	peti sejuk
03102654-n	zsm:exe	Tiada apa-apa di dalam peti sejuk.
03273913-n	zsm:lemma	peti sejuk
03273913-n	zsm:exe	Tiada apa-apa di dalam peti sejuk.
02399595-a	zsm:lemma	tidak sedap
02399595-a	zsm:exe	Kedai itu murah tetapi tidak sedap.
01716971-a	zsm:lemma	tidak sedap
01716971-a	zsm:exe	Kedai itu murah tetapi tidak sedap.
07845335-n	zsm:lemma	susu lembu
07845335-n	zsm:exe	Saya tidak suka susu lembu, jadi saya jarang meminumnya.
07844042-n	zsm:lemma	susu lembu
07844042-n	zsm:exe	Saya tidak suka susu lembu, jadi saya jarang meminumnya.
10780632-n	zsm:lemma	isteri
10780632-n	zsm:exe	Isteri Encik Tanaka adalah seorang pensyarah di universiti.
08625462-n	zsm:lemma	kiri
08625462-n	zsm:exe	Cik Kimura ada di sebelah kiri Encik Tanaka.
90000508-n	zsm:lemma	minggu depan
90000508-n	zsm:exe	Kakak saya akan berkahwin pada minggu depan. 
01848718-v	zsm:lemma	pergi
01848718-v	zsm:exe	Selepas habis sekolah, saya akan pergi ke rumah kawan saya. 
06518719-n	zsm:lemma	tikét
06518719-n	zsm:exe	Kita membeli tiket semasa menaiki kereta api.
01470670-v	zsm:lemma	berjumpa
01470670-v	zsm:exe	Saya akan berjumpa dengan Cik Kimura di stesen malam ini.
02428924-v	zsm:lemma	berjumpa
02428924-v	zsm:exe	Saya akan berjumpa dengan Cik Kimura di stesen malam ini.
10285313-n	zsm:lemma	budak lelaki
10285313-n	zsm:exe	Ada budak lelaki sedang memanjat pokok di sana. 
03542333-n	zsm:lemma	hotél
03542333-n	zsm:exe	Bilik hotel ini sangat cantik. 
02913152-n	zsm:lemma	bangunan
02913152-n	zsm:exe	Dekat kawasan sini, tidak banyak bangunan yang tinggi. 
07649854-n	zsm:lemma	daging
07649854-n	zsm:exe	Saya lebih suka ikan daripada daging.
09397391-n	zsm:lemma	kolam
09397391-n	zsm:exe	Ada kolam yang besar di dalam taman.
07935152-n	zsm:lemma	téh
07935152-n	zsm:exe	Bagaimana dengan teh?
03082979-n	zsm:lemma	komputer
03082979-n	zsm:exe	Sekarang ini saya nak sebuah komputer.
00312553-n	zsm:lemma	melancong; pelancongan
00312553-n	zsm:lemma	melancong; pelancongan
00312553-n	zsm:exe	Saya terfikir nak pergi melancong ke luar negara pada tahun depan.
04043733-n	zsm:lemma	radio
04043733-n	zsm:exe	Saya dengar berita di radio. 
01442186-a	zsm:lemma	singkat
01442186-a	zsm:exe	Satu hari itu sangat singkat.
01436003-a	zsm:lemma	singkat
01436003-a	zsm:exe	Satu hari itu sangat singkat.
01442826-a	zsm:lemma	singkat
01442826-a	zsm:exe	Satu hari itu sangat singkat.
14513694-n	zsm:lemma	rumah
14513694-n	zsm:exe	Makanan ini boleh dibuat di rumah.
15274074-n	zsm:lemma	cuti
15274074-n	zsm:exe	Saya keluar dengan kawan pada hari cuti. 
15183428-n	zsm:lemma	cuti
15183428-n	zsm:exe	Saya keluar dengan kawan pada hari cuti. 
15137890-n	zsm:lemma	cuti
15137890-n	zsm:exe	Saya keluar dengan kawan pada hari cuti. 
00027918-r	zsm:lemma	masih
00027918-r	zsm:exe	Matsui masih belum membuat kerja rumah.
00031304-r	zsm:lemma	masih
00031304-r	zsm:exe	Matsui masih belum membuat kerja rumah.
03925226-n	zsm:lemma	gambar
03925226-n	zsm:exe	Apabila saya datang ke Jepun, saya mengambil gambar di lapangan terbang. 
03931044-n	zsm:lemma	gambar
03931044-n	zsm:exe	Apabila saya datang ke Jepun, saya mengambil gambar di lapangan terbang. 
04248607-n	zsm:lemma	gambar
04248607-n	zsm:exe	Apabila saya datang ke Jepun, saya mengambil gambar di lapangan terbang. 
15164233-n	zsm:lemma	hari Rabu
15164233-n	zsm:exe	Hospital di sana tutup pada setiap hari Rabu dan hari Ahad. 
11524662-n	zsm:lemma	cuaca
11524662-n	zsm:exe	Cuaca hari ini sangat baik.
07193184-n	zsm:lemma	soalan
07193184-n	zsm:exe	Awak mesti membaca soalan dengan baik semasa menulis jawapan.
07196682-n	zsm:lemma	soalan
07196682-n	zsm:exe	Awak mesti membaca soalan dengan baik semasa menulis jawapan.
05797597-n	zsm:lemma	soalan
05797597-n	zsm:exe	Awak mesti membaca soalan dengan baik semasa menulis jawapan.
07193596-n	zsm:lemma	soalan
07193596-n	zsm:exe	Awak mesti membaca soalan dengan baik semasa menulis jawapan.
01904930-v	zsm:lemma	berjalan kaki
01904930-v	zsm:exe	Mari kita berjalan kaki jika dekat.
03383948-n	zsm:lemma	garpu
03383948-n	zsm:exe	Saya menggunakan garpu apabila makan kek.
08286569-n	zsm:lemma	universiti
08286569-n	zsm:exe	Sebenarnya saya ingin belajar di universiti di Tokyo. 
08286163-n	zsm:lemma	universiti
08286163-n	zsm:exe	Sebenarnya saya ingin belajar di universiti di Tokyo. 
08278169-n	zsm:lemma	universiti
08278169-n	zsm:exe	Sebenarnya saya ingin belajar di universiti di Tokyo. 
01000214-v	zsm:lemma	menulis (brk:tulis)
01000214-v	zsm:exe	Saya menulis surat kepada kawan semalam.
02471690-v	zsm:lemma	menulis (brk:tulis)
02471690-v	zsm:exe	Saya menulis surat kepada kawan semalam.
01020356-v	zsm:lemma	menulis (brk:tulis)
01020356-v	zsm:exe	Saya menulis surat kepada kawan semalam.
01691057-v	zsm:lemma	menulis (brk:tulis)
01691057-v	zsm:exe	Saya menulis surat kepada kawan semalam.
01698271-v	zsm:lemma	menulis (brk:tulis)
01698271-v	zsm:exe	Saya menulis surat kepada kawan semalam.
01020934-v	zsm:lemma	menulis (brk:tulis)
01020934-v	zsm:exe	Saya menulis surat kepada kawan semalam.
00993014-v	zsm:lemma	menulis (brk:tulis)
00993014-v	zsm:exe	Saya menulis surat kepada kawan semalam.
03822171-n	zsm:lemma	surat khabar
03822171-n	zsm:exe	Itu surat khabar untuk hari ini.
06267145-n	zsm:lemma	surat khabar
06267145-n	zsm:exe	Itu surat khabar untuk hari ini.
14961722-n	zsm:lemma	surat khabar
14961722-n	zsm:exe	Itu surat khabar untuk hari ini.
07197021-n	zsm:lemma	ujian
07197021-n	zsm:exe	Ada ujian kanji setiap hari di sekolah.
13714184-n	zsm:lemma	darjah
13714184-n	zsm:exe	Saya terkena selesema, jadi suhu badan tiga puluh lapan darjah.
00119568-n	zsm:lemma	terbang
00119568-n	zsm:exe	Ada burung sedang terbang di langit sana. 
08145553-n	zsm:lemma	pejabat pos
08145553-n	zsm:exe	Pejabat pos ada di dekat stesen.
15237044-n	zsm:lemma	musim bunga
15237044-n	zsm:exe	Di Jepun, angin kencang semasa musim bunga. 
01270199-v	zsm:lemma	mencuci pakaian
01270199-v	zsm:exe	Esok pagi saya mesti mencuci pakaian saya.
06505517-n	zsm:lemma	salinan
06505517-n	zsm:exe	Guru menyerahkan salinan surat khabar kepada pelajar-pelajarnya. 
15166462-n	zsm:lemma	petang
15166462-n	zsm:exe	Saya pergi berjalan-jalan ke taman pada waktu petang.
15166462-n	zsm:lemma	malam tadi
15166462-n	zsm:exe	Malam tadi, saya dan Cik Kimura pergi makan malam.
01343918-a	zsm:lemma	kelakar; menarik
01343918-a	zsm:lemma	kelakar; menarik
01343918-a	zsm:exe	Kelas ini sangat menarik.
01344344-a	zsm:lemma	kelakar; menarik
01344344-a	zsm:lemma	kelakar; menarik
01344344-a	zsm:exe	Kelas ini sangat menarik.
01344344-a	zsm:lemma	seronok
01344344-a	zsm:exe	Pembelajaran bahasa Jepun seronok.
01265308-a	zsm:lemma	kelakar; menarik
01265308-a	zsm:lemma	kelakar; menarik
01265308-a	zsm:exe	Kelas ini sangat menarik.
01344485-a	zsm:lemma	kelakar; menarik
01344485-a	zsm:lemma	kelakar; menarik
01344485-a	zsm:exe	Kelas ini sangat menarik.
90000515-n	zsm:lemma	lusa
90000515-n	zsm:exe	Saya ingin pergi berenang di laut pada lusa.
01801029-a	zsm:lemma	seronok
01801029-a	zsm:exe	Pembelajaran bahasa Jepun seronok.
03906997-n	zsm:lemma	pén
03906997-n	zsm:exe	Ini pen saya. 
77000095-n	zsm:lemma	siapa
77000095-n	zsm:exe	Siapakah Encik Kobayashi?
77000095-n	zsm:lemma	siapa
77000095-n	zsm:exe	Esok awak akan berjumpa dengan siapa?
90000500-n	zsm:lemma	dua tahun lepas
90000500-n	zsm:exe	Saya mendaki gunung ini dua tahun lepas.
03221720-n	zsm:lemma	pintu
03221720-n	zsm:exe	Pintu kereta api akan tutup.
03221720-n	zsm:lemma	pintu
03221720-n	zsm:exe	Jangan buka pintu situ. 
77000012-n	zsm:lemma	saya
77000012-n	zsm:exe	Buku itu saya punya. 
77000015-n	zsm:lemma	saya
77000015-n	zsm:exe	Buku itu saya punya. 
01344963-a	zsm:lemma	membosankan
01344963-a	zsm:exe	Buku ini membosankan. 
01170052-v	zsm:lemma	minum; makan
01170052-v	zsm:lemma	minum; makan
01170052-v	zsm:exe	Encik Yamada akan minum air coca-cola.
03282295-n	zsm:lemma	kedutaan
03282295-n	zsm:exe	Kalau pusing ke kanan dekat persimpangan itu, akan ada kedutaan.
06796119-n	zsm:lemma	setém
06796119-n	zsm:exe	Saya membeli sepuluh keping setem dan tiga keping poskad.
07775375-n	zsm:lemma	ikan
07775375-n	zsm:exe	Kawasan yang dekat dengan laut, ikannya sedap.
02512053-n	zsm:lemma	ikan
02512053-n	zsm:exe	Kawasan yang dekat dengan laut, ikannya sedap.
01586866-a	zsm:lemma	bagus
01586866-a	zsm:exe	Filem ini tidak berapa bagus.
01048762-a	zsm:lemma	bagus
01048762-a	zsm:exe	Filem ini tidak berapa bagus.
00067638-a	zsm:lemma	bagus
00067638-a	zsm:exe	Filem ini tidak berapa bagus.
01993408-a	zsm:lemma	bagus
01993408-a	zsm:exe	Filem ini tidak berapa bagus.
01171213-a	zsm:lemma	bagus
01171213-a	zsm:exe	Filem ini tidak berapa bagus.
01800349-a	zsm:lemma	bagus
01800349-a	zsm:exe	Filem ini tidak berapa bagus.
01123148-a	zsm:lemma	bagus
01123148-a	zsm:exe	Filem ini tidak berapa bagus.
00064787-a	zsm:lemma	bagus
00064787-a	zsm:exe	Filem ini tidak berapa bagus.
00850183-a	zsm:lemma	bagus
00850183-a	zsm:exe	Filem ini tidak berapa bagus.
01129977-a	zsm:lemma	bagus
01129977-a	zsm:exe	Filem ini tidak berapa bagus.
01586752-a	zsm:lemma	bagus
01586752-a	zsm:exe	Filem ini tidak berapa bagus.
04588365-n	zsm:lemma	tingkap
04588365-n	zsm:exe	Bilik ini tiada tingkap.
04587648-n	zsm:lemma	tingkap
04587648-n	zsm:exe	Bilik ini tiada tingkap.
05216365-n	zsm:lemma	badan
05216365-n	zsm:exe	Adik lelaki saya mempunyai badan yang kuat.
76100002-x	zsm:lemma	buah
76100002-x	zsm:exe	Di atas meja guru ada dua buah kamus dan sebuah majalah. 
04967191-n	zsm:lemma	hijau
04967191-n	zsm:exe	Encik Yamada memakai tali leher berwarna hijau.
80001047-v	zsm:lemma	mati
80001047-v	zsm:exe	Ramai orang yang mati.
03497657-n	zsm:lemma	topi
03497657-n	zsm:exe	Saya pakai topi apabila keluar pada hari panas.
15129927-n	zsm:lemma	pukul
15129927-n	zsm:exe	Pukul berapa sekarang? 
00546389-n	zsm:lemma	lagu
00546389-n	zsm:exe	Saya paling suka lagu ini. 
07048000-n	zsm:lemma	lagu
07048000-n	zsm:exe	Saya paling suka lagu ini. 
01754737-v	zsm:lemma	menutup (brk:tutup)
01754737-v	zsm:exe	Saya menutup suis komputer.
07447641-n	zsm:lemma	majlis
07447641-n	zsm:exe	Kami akan membuat majlis pada hari jadi Encik Yamada
01842204-v	zsm:lemma	keluar
01842204-v	zsm:exe	Esok malam saya akan keluar kerana ingin berjumpa dengan kawan.
04241394-n	zsm:lemma	selipar
04241394-n	zsm:exe	Saya menanggalkan kasut dan memakai selipar.
05301908-n	zsm:lemma	mulut
05301908-n	zsm:exe	Saya tidak boleh buka mulut kerana gigi sakit.
02440250-n	zsm:lemma	tangan
02440250-n	zsm:exe	Sebelum makan nasi, saya membasuh tangan.
06277280-n	zsm:lemma	TV
06277280-n	zsm:exe	Menonton TV adalah tidak baik untuk mata.
13831176-n	zsm:lemma	utara
13831176-n	zsm:exe	Bahagian utara Jepun akan sangat sejuk apabila datangnya musim sejuk.
01318741-a	zsm:lemma	sakit
01318741-a	zsm:exe	Oleh sebab gigi saya sakit, saya tidak boleh makan apa-apa.
01712753-a	zsm:lemma	sakit
01712753-a	zsm:exe	Oleh sebab gigi saya sakit, saya tidak boleh makan apa-apa.
05395690-n	zsm:lemma	perut
05395690-n	zsm:exe	Oleh sebab perut sakit, saya pergi ke hospital.
05556943-n	zsm:lemma	perut
05556943-n	zsm:exe	Oleh sebab perut sakit, saya pergi ke hospital.
00749230-a	zsm:lemma	mudah
00749230-a	zsm:exe	Ujian semalam mudah.
14061805-n	zsm:lemma	sakit
14061805-n	zsm:exe	Hari ini tiada kelas kerana cikgu sakit.
14055408-n	zsm:lemma	sakit
14055408-n	zsm:exe	Hari ini tiada kelas kerana cikgu sakit.
14473054-n	zsm:lemma	sakit
14473054-n	zsm:exe	Hari ini tiada kelas kerana cikgu sakit.
10399491-n	zsm:lemma	ibu bapa
10399491-n	zsm:exe	Ibu bapa saya ada di luar negara sekarang.
13833375-n	zsm:lemma	selatan
13833375-n	zsm:exe	Bilik saya terang kerana ada di bahagian selatan.
02472293-n	zsm:lemma	orang
02472293-n	zsm:exe	Encik Tanaka seseorang yang ceria.
00442917-a	zsm:lemma	jauh
00442917-a	zsm:exe	Dari stesen ke sekolah jauh, jadi saya naik bas.
01421622-v	zsm:lemma	membuka (brk:buka)
01421622-v	zsm:exe	Saya membuka suis dan memasang lampu.
03398467-n	zsm:lemma	depan
03398467-n	zsm:exe	Cik Matsui duduk di depan saya. 
00964768-a	zsm:lemma	lemah
00964768-a	zsm:exe	Badan saya lemah, jadi saya tidak boleh bersukan.
02324397-a	zsm:lemma	lemah
02324397-a	zsm:exe	Badan saya lemah, jadi saya tidak boleh bersukan.
00709215-a	zsm:lemma	lemah
00709215-a	zsm:exe	Badan saya lemah, jadi saya tidak boleh bersukan.
02040233-a	zsm:lemma	lemah
02040233-a	zsm:exe	Badan saya lemah, jadi saya tidak boleh bersukan.
02040049-a	zsm:lemma	lemah
02040049-a	zsm:exe	Badan saya lemah, jadi saya tidak boleh bersukan.
00254978-r	zsm:lemma	setiap bulan
00254978-r	zsm:exe	Setiap bulan saya deposit wang di bank.
77000091-n	zsm:lemma	yang bagaimana
77000091-n	zsm:exe	Awak ingin berkahwin dengan orang yang bagaimana? 
06605897-n	zsm:lemma	maksud
06605897-n	zsm:exe	Saya mengajar maksud perkataan ini kepada Encik Lee.
05919866-n	zsm:lemma	maksud
05919866-n	zsm:exe	Saya mengajar maksud perkataan ini kepada Encik Lee.
06601327-n	zsm:lemma	maksud
06601327-n	zsm:exe	Saya mengajar maksud perkataan ini kepada Encik Lee.
04059701-n	zsm:lemma	belakang
04059701-n	zsm:exe	Ramai orang berbaris di belakang saya.
02767665-n	zsm:lemma	belakang
02767665-n	zsm:exe	Ramai orang berbaris di belakang saya.
03540595-n	zsm:lemma	hospital
03540595-n	zsm:exe	Jangan gunakan telefon bimbit di hospital. 
08054417-n	zsm:lemma	hospital
08054417-n	zsm:exe	Jangan gunakan telefon bimbit di hospital. 
05311054-n	zsm:lemma	mata; penglihatan
05311054-n	zsm:lemma	mata; penglihatan
05311054-n	zsm:exe	Penglihatan Encik Yamada teruk, jadi beliau memakai cermin mata.
05316025-n	zsm:lemma	mata; penglihatan
05316025-n	zsm:lemma	mata; penglihatan
05316025-n	zsm:exe	Penglihatan Encik Yamada teruk, jadi beliau memakai cermin mata.
02871439-n	zsm:lemma	rak buku
02871439-n	zsm:exe	Ada banyak deretan rak buku di perpustakaan.
01186408-a	zsm:lemma	ringan
01186408-a	zsm:exe	Saya nak kasut yang ringan.
04049098-n	zsm:lemma	stésén
04049098-n	zsm:exe	Esok saya akan berjumpa dengan kawan di stesen dan kami akan pergi menonton konsert bersama-sama.
03030663-n	zsm:lemma	merokok
03030663-n	zsm:exe	Jangan merokok di dalam bilik ini.
02230772-v	zsm:lemma	beri
02230772-v	zsm:exe	Saya beri peta bandar ini kepada Cik Kimura semalam. 
90000504-n	zsm:lemma	dua tahun akan datang
90000504-n	zsm:exe	Saya dengar perpustakaan akan siap di sana dua tahun akan datang.
00729108-n	zsm:lemma	kerja rumah
00729108-n	zsm:exe	Jangan lupa tentang kerja rumah. 
03815615-n	zsm:lemma	tali léhér
03815615-n	zsm:exe	Ini tali leher dari Itali.
07596684-n	zsm:lemma	kuih
07596684-n	zsm:exe	Cik Kimura berikan kuih kepada saya.
05560787-n	zsm:lemma	kaki
05560787-n	zsm:exe	Kaki saya letih kerana banyak berjalan kaki. 
05563266-n	zsm:lemma	kaki
05563266-n	zsm:exe	Kaki saya letih kerana banyak berjalan kaki. 
02310007-v	zsm:lemma	pulangkan
02310007-v	zsm:exe	Bolehkah saya pulangkan semasa waktu rehat tengah hari?
01308381-v	zsm:lemma	pulangkan
01308381-v	zsm:exe	Bolehkah saya pulangkan semasa waktu rehat tengah hari?
80001595-v	zsm:lemma	pulangkan
80001595-v	zsm:exe	Bolehkah saya pulangkan semasa waktu rehat tengah hari?
10080869-n	zsm:lemma	ayah
10080869-n	zsm:exe	Ayah Cik Kimura berusia lima puluh dua tahun.
10080869-n	zsm:lemma	bapa
10080869-n	zsm:exe	Saya menghadiahkan bunga kepada bapa saya. 
02411224-a	zsm:lemma	besar
02411224-a	zsm:exe	Ada pokok yang besar di taman.
04446276-n	zsm:lemma	tandas
04446276-n	zsm:exe	Apabila keluar dari tandas, saya membasuh tangan.
04555291-n	zsm:lemma	tandas
04555291-n	zsm:exe	Apabila keluar dari tandas, saya membasuh tangan.
00292937-a	zsm:lemma	sibuk
00292937-a	zsm:exe	Saya tidak begitu dapat berehat kerana sibuk setiap hari.
00273082-a	zsm:lemma	gelap
00273082-a	zsm:exe	Mata akan menjadi rabun kalau membaca buku di tempat gelap.
03291819-n	zsm:lemma	sampul surat
03291819-n	zsm:exe	Saya menulis nama pada sampul surat.
80001545-n	zsm:lemma	sebelah
80001545-n	zsm:exe	Kedai kopi itu ada di sebelah kedai buku.
09215315-n	zsm:lemma	bawah
09215315-n	zsm:exe	Ada kucing di bawah kerusi. 
80001661-n	zsm:lemma	bawah
80001661-n	zsm:exe	Ada kucing di bawah kerusi. 
00523513-n	zsm:lemma	sukan
00523513-n	zsm:exe	Saya tidak suka bersukan.
03179701-n	zsm:lemma	méja
03179701-n	zsm:exe	Dalam bilik saya ada meja, katil, TV dan lain-lain.
04202417-n	zsm:lemma	kedai
04202417-n	zsm:exe	Ada kedai bagus di depan stesen. 
02016062-v	zsm:lemma	turun
02016062-v	zsm:exe	Kalau nak ke kedutaan, awak turun di stesen seterusnya.
15237782-n	zsm:lemma	musim sejuk
15237782-n	zsm:exe	Oleh sebab musim sejuk sejuk, pemanas dipasang.
80001691-n	zsm:lemma	atas
80001691-n	zsm:exe	Di atas meja guru ada dua buah kamus dan sebuah majalah. 
08663354-n	zsm:lemma	atas
08663354-n	zsm:exe	Di atas meja guru ada dua buah kamus dan sebuah majalah. 
07804323-n	zsm:lemma	nasi
07804323-n	zsm:exe	Malam ini saya akan makan nasi di rumah kawan.
15245990-n	zsm:lemma	nasi
15245990-n	zsm:exe	Malam ini saya akan makan nasi di rumah kawan.
90000417-n	zsm:lemma	nasi
90000417-n	zsm:exe	Malam ini saya akan makan nasi di rumah kawan.
07575076-n	zsm:lemma	makan tengah hari
07575076-n	zsm:exe	Saya selalu makan tengah hari di sini.
15156001-n	zsm:lemma	hari ini
15156001-n	zsm:exe	Saya dan Encik Lee pergi menonton wayang pada hari ini.
09604981-n	zsm:lemma	sendiri; saya
09604981-n	zsm:lemma	sendiri; saya
09604981-n	zsm:exe	Saya akan membuat kerja itu sendiri. 
02395115-a	zsm:lemma	sedap
02395115-a	zsm:exe	Kuih ini sedap.
02396720-a	zsm:lemma	sedap
02396720-a	zsm:exe	Kuih ini sedap.
