# TUFS Basic Tagalog Wordnet	tgl http://www.coelang.tufs.ac.jp/mt/tl/	CC BY 4.0
06613686-n	tgl:exe	Mamaya na ako bibili ng film.\n
06613686-n	tgl:lemma	sine
06613686-n	tgl:exe	Mahilig akong manood ng sine, pero ayaw kong manood ngayon.
06262567-n	tgl:lemma	film
06262567-n	tgl:exe	Mamaya na ako bibili ng film.\n
04096066-n	tgl:lemma	daan
04096066-n	tgl:exe	Masisikip ang mga daan sa loob ng UP.\n
15212739-n	tgl:lemma	Setyembre
15212739-n	tgl:exe	Wala pang pasok sa aming eskuwelahan sa Setyembre.
77000079-a	tgl:lemma	niyan
77000079-a	tgl:exe	Puwede ba akong humiram ng lapis na iyan?
14524198-n	tgl:lemma	maulap
14524198-n	tgl:exe	Maulap ngayon, kaya hindi mainit.
13828795-n	tgl:lemma	haba
13828795-n	tgl:exe	Sinukat mo ba ang haba ng kahon?\n
00543233-n	tgl:lemma	musika
00543233-n	tgl:exe	May talento siya sa musika.
05718556-n	tgl:lemma	musika
05718556-n	tgl:exe	May talento siya sa musika.
05718935-n	tgl:lemma	musika
05718935-n	tgl:exe	May talento siya sa musika.
07020895-n	tgl:lemma	musika
07020895-n	tgl:exe	May talento siya sa musika.
00409709-r	tgl:lemma	kalapit
00409709-r	tgl:exe	Nakatira siya sa isang kalapit na bayan.\n
08641113-n	tgl:lemma	kalapit
08641113-n	tgl:exe	Nakatira siya sa isang kalapit na bayan.\n
03112099-n	tgl:lemma	koridor
03112099-n	tgl:exe	Maingay sa koridor tuwing lunch break.\n
03661043-n	tgl:lemma	aklatan
03661043-n	tgl:exe	Hindi maaaring mag-ingay sa aklatan.\n
07840804-n	tgl:lemma	itlog
07840804-n	tgl:exe	Kumakain ako ng itlog sa almusal araw-araw.
90000502-n	tgl:lemma	ngayong taon
90000502-n	tgl:exe	Hindi masyadong mainit ang tag-init ngayong taon.
03908204-n	tgl:lemma	lapis
03908204-n	tgl:exe	Ilang lapis ang binili mo sa tindahang iyan?
14796748-n	tgl:lemma	lapis
14796748-n	tgl:exe	Ilang lapis ang binili mo sa tindahang iyan?
05282433-n	tgl:lemma	ngipin
05282433-n	tgl:exe	Masakit ang ngipin ko kagabi.
05282746-n	tgl:lemma	ngipin
05282746-n	tgl:exe	Masakit ang ngipin ko kagabi.
01649720-a	tgl:lemma	bata
01649720-a	tgl:exe	Napakabata naman ninyo!
01646941-a	tgl:lemma	bata
01646941-a	tgl:exe	Napakabata naman ninyo!
00514884-a	tgl:lemma	sa
00514884-a	tgl:exe	Siya ang pinakamagandang babae sa bayang ito.
00988232-a	tgl:lemma	payat
00988232-a	tgl:exe	Baka may sakit siya, kasi masyado siyang payat.
01029368-v	tgl:lemma	si
01029368-v	tgl:exe	Joey, siya si Tina, ang kababata ko. 
77000084-n	tgl:lemma	saan
77000084-n	tgl:exe	Saan ho tayo dadaan?
00220082-a	tgl:lemma	maganda
00220082-a	tgl:exe	Maganda ba siya? 
01586342-a	tgl:lemma	maganda
01586342-a	tgl:exe	Maganda ba siya? 
01586342-a	tgl:lemma	mabuti
01586342-a	tgl:exe	Mas mabuting magpasalamat ka kay Carmen.　　　　　　　　　　　　　　　　
01346003-v	tgl:lemma	buksan
01346003-v	tgl:exe	Huwag mong buksan ang bintana sa kuwarto.\n
09853467-n	tgl:lemma	kuya
09853467-n	tgl:exe	Wala akong kuya.
09853467-n	tgl:lemma	kuya
09853467-n	tgl:exe	Matangkad ang kuya ni Ben.\n
03102654-n	tgl:lemma	repridyereytor
03102654-n	tgl:exe	Malaki ang repridyereytor ng tiyo ko.\n
03273913-n	tgl:lemma	repridyereytor
03273913-n	tgl:exe	Malaki ang repridyereytor ng tiyo ko.\n
02399595-a	tgl:lemma	hindi masarap
02399595-a	tgl:exe	Hindi raw masarap ang balot.\n
01716971-a	tgl:lemma	hindi masarap
01716971-a	tgl:exe	Hindi raw masarap ang balot.\n
07845335-n	tgl:lemma	gatas
07845335-n	tgl:exe	Umiinom siya ng gatas bago matulog.\n
07844042-n	tgl:lemma	gatas
07844042-n	tgl:exe	Umiinom siya ng gatas bago matulog.\n
10780632-n	tgl:lemma	asawa
10780632-n	tgl:exe	Wala siyang asawa.\n
10780632-n	tgl:lemma	asawa
10780632-n	tgl:exe	Ipapakilala ko sa iyo ang aking asawa.\n
08625462-n	tgl:lemma	kaliwa
08625462-n	tgl:exe	Ang tao ay may kanan at kaliwang kamay.
90000508-n	tgl:lemma	sa isang linggo
90000508-n	tgl:exe	Siguro mababayaran na kita sa isang linggo.
01848718-v	tgl:lemma	pumunta
01848718-v	tgl:exe	Balak kong pumunta sa Baguio.
06518719-n	tgl:lemma	tiket
06518719-n	tgl:exe	Mahal ang tiket ng tren sa Hapon.
01470670-v	tgl:lemma	magkita
01470670-v	tgl:exe	O magkita tayo sa laybrari mamayang alas tres!
02428924-v	tgl:lemma	magkita
02428924-v	tgl:exe	O magkita tayo sa laybrari mamayang alas tres!
10285313-n	tgl:lemma	batang lalaki
10285313-n	tgl:exe	Naglalaro ang mga batang lalaki sa kalye.\n
03542333-n	tgl:lemma	otel
03542333-n	tgl:exe	Ito ang pinakasikat na otel sa Pilipinas.
02913152-n	tgl:lemma	gusali
02913152-n	tgl:exe	Matataas ang mga gusali sa Shinjuku.\n
07649854-n	tgl:lemma	karne
07649854-n	tgl:exe	Pakuluan mo muna ang karneng baboy hanggang sa lumambot.
09397391-n	tgl:lemma	lawa
09397391-n	tgl:exe	Malalim ang lawa sa Taal.\n
07935152-n	tgl:lemma	green tea
07935152-n	tgl:exe	Umiinom siya ng green tea pagkatapos kumain.\n
03082979-n	tgl:lemma	kompyuter
03082979-n	tgl:exe	Kombiniyente ang kompyuter lalo na sa opisina.\n
00312553-n	tgl:lemma	paglalakbay
00312553-n	tgl:exe	Kailangan natin ng malaking halaga para sa paglalakbay na ito.\n
04043733-n	tgl:lemma	radyo
04043733-n	tgl:exe	Nakikinig ako ng balita sa radyo.\n
01442186-a	tgl:lemma	maikli
01442186-a	tgl:exe	Akala ko, mukhang bumata ako sa maikling buhok.
01436003-a	tgl:lemma	maikli
01436003-a	tgl:exe	Akala ko, mukhang bumata ako sa maikling buhok.
01442826-a	tgl:lemma	maikli
01442826-a	tgl:exe	Akala ko, mukhang bumata ako sa maikling buhok.
14513694-n	tgl:lemma	tahanan
14513694-n	tgl:exe	Lumaki ako sa isang masayang tahanan.\n
02808440-n	tgl:lemma	banyo
02808440-n	tgl:exe	Marumi ang banyo sa dormitoryo.\n
02807731-n	tgl:lemma	banyo
02807731-n	tgl:exe	Marumi ang banyo sa dormitoryo.\n
15274074-n	tgl:lemma	bakasyon
15274074-n	tgl:exe	Hi Carol, kumusta ang bakasyon mo?
15183428-n	tgl:lemma	bakasyon
15183428-n	tgl:exe	Hi Carol, kumusta ang bakasyon mo?
15137890-n	tgl:lemma	bakasyon
15137890-n	tgl:exe	Hi Carol, kumusta ang bakasyon mo?
00027918-r	tgl:lemma	pa
00027918-r	tgl:exe	Wala pa si Josie.
00031304-r	tgl:lemma	pa
00031304-r	tgl:exe	Wala pa si Josie.
03925226-n	tgl:lemma	letrato
03925226-n	tgl:exe	Kunan mo ng letrato ang pamilya mo.\n
03931044-n	tgl:lemma	letrato
03931044-n	tgl:exe	Kunan mo ng letrato ang pamilya mo.\n
04248607-n	tgl:lemma	letrato
04248607-n	tgl:exe	Kunan mo ng letrato ang pamilya mo.\n
15164233-n	tgl:lemma	Miyerkoles
15164233-n	tgl:exe	Wala tayong klase sa Miyerkoles, di ba?
11524662-n	tgl:lemma	panahon
11524662-n	tgl:exe	Masama raw ang panahon bukas.\n
07193184-n	tgl:lemma	tanong
07193184-n	tgl:exe	Ano ba ang tanong mo sa kanya kanina?\n
07196682-n	tgl:lemma	tanong
07196682-n	tgl:exe	Ano ba ang tanong mo sa kanya kanina?\n
05797597-n	tgl:lemma	tanong
05797597-n	tgl:exe	Ano ba ang tanong mo sa kanya kanina?\n
07193596-n	tgl:lemma	tanong
07193596-n	tgl:exe	Ano ba ang tanong mo sa kanya kanina?\n
01904930-v	tgl:lemma	maglakad
01904930-v	tgl:exe	O sige. Lalakad ba tayo?
03383948-n	tgl:lemma	tinidor
03383948-n	tgl:exe	Ipakikuha mo nga ako ng isang tinidor.
08286569-n	tgl:lemma	unibersidad
08286569-n	tgl:exe	Nakapag-aral si Letty sa isang sikat na unibersidad.\n
08286163-n	tgl:lemma	unibersidad
08286163-n	tgl:exe	Nakapag-aral si Letty sa isang sikat na unibersidad.\n
08278169-n	tgl:lemma	unibersidad
08278169-n	tgl:exe	Nakapag-aral si Letty sa isang sikat na unibersidad.\n
01000214-v	tgl:lemma	sumulat
01000214-v	tgl:exe	Sumulat ka sa nanay mo para hindi siya mag-alala.\n
02471690-v	tgl:lemma	sumulat
02471690-v	tgl:exe	Sumulat ka sa nanay mo para hindi siya mag-alala.\n
01020356-v	tgl:lemma	sumulat
01020356-v	tgl:exe	Sumulat ka sa nanay mo para hindi siya mag-alala.\n
01691057-v	tgl:lemma	sumulat
01691057-v	tgl:exe	Sumulat ka sa nanay mo para hindi siya mag-alala.\n
01698271-v	tgl:lemma	sumulat
01698271-v	tgl:exe	Sumulat ka sa nanay mo para hindi siya mag-alala.\n
01020934-v	tgl:lemma	sumulat
01020934-v	tgl:exe	Sumulat ka sa nanay mo para hindi siya mag-alala.\n
00993014-v	tgl:lemma	sumulat
00993014-v	tgl:exe	Sumulat ka sa nanay mo para hindi siya mag-alala.\n
03822171-n	tgl:lemma	dyaryo
03822171-n	tgl:exe	Nagbabasa ako ng dyaryo araw-araw.\n
06267145-n	tgl:lemma	dyaryo
06267145-n	tgl:exe	Nagbabasa ako ng dyaryo araw-araw.\n
14961722-n	tgl:lemma	dyaryo
14961722-n	tgl:exe	Nagbabasa ako ng dyaryo araw-araw.\n
07197021-n	tgl:lemma	eksam
07197021-n	tgl:exe	Gaano karami ang mga eksam mo ngayong semestre?\n
00158309-r	tgl:lemma	ganiyang-ganiyan
00158309-r	tgl:exe	Ganiyang-ganiyan ang mukha ng tatay mo noong bata pa siya.\n
00002621-r	tgl:lemma	ganiyang-ganiyan
00002621-r	tgl:exe	Ganiyang-ganiyan ang mukha ng tatay mo noong bata pa siya.\n
00002950-r	tgl:lemma	ganiyang-ganiyan
00002950-r	tgl:exe	Ganiyang-ganiyan ang mukha ng tatay mo noong bata pa siya.\n
00119568-n	tgl:lemma	lumipad
00119568-n	tgl:exe	Ang ibon ay lumipad na patimog.
08145553-n	tgl:lemma	pos opis
08145553-n	tgl:exe	Maraming tao kanina sa pos opis.\n
15237044-n	tgl:lemma	tagsibol
15237044-n	tgl:exe	Maraming bulaklak ang namumukadkad tuwing tagsibol.\n
01270199-v	tgl:lemma	maglaba
01270199-v	tgl:exe	Ayaw kong maglaba ng maong.\n
06505517-n	tgl:lemma	kopya
06505517-n	tgl:exe	Malabo ang kopyang binigay mo sa akin.\n
15166462-n	tgl:lemma	dapithapon
15166462-n	tgl:exe	Malamig ang simoy ng hangin sa dapithapon.\n
15166462-n	tgl:lemma	kagabi
15166462-n	tgl:exe	Hindi ako nakatulog kagabi.
01343918-a	tgl:lemma	nakakatawa
01343918-a	tgl:exe	Nakakatawa ang kuwento niya.
01344344-a	tgl:lemma	nakakatawa
01344344-a	tgl:exe	Nakakatawa ang kuwento niya.
01344344-a	tgl:lemma	masaya
01344344-a	tgl:exe	Masaya siyempre.
01265308-a	tgl:lemma	nakakatawa
01265308-a	tgl:exe	Nakakatawa ang kuwento niya.
01344485-a	tgl:lemma	nakakatawa
01344485-a	tgl:exe	Nakakatawa ang kuwento niya.
00067045-r	tgl:lemma	unahan
00067045-r	tgl:exe	May paradahan sa unahan ng gusaling iyan.\n
00067265-r	tgl:lemma	unahan
00067265-r	tgl:exe	May paradahan sa unahan ng gusaling iyan.\n
90000515-n	tgl:lemma	samakalawa
90000515-n	tgl:exe	Samakalawa na ang uwi ni Kuya galing sa Saudi.\n
01296462-v	tgl:lemma	ikabit
01296462-v	tgl:exe	Ikabit mo ang ilaw sa kisame.\n
01801029-a	tgl:lemma	masaya
01801029-a	tgl:exe	Masaya siyempre.
03906997-n	tgl:lemma	pluma
03906997-n	tgl:exe	Pluma ang regalo ko sa kanya.
77000095-n	tgl:lemma	sino
77000095-n	tgl:exe	Sino po sila?
77000095-n	tgl:lemma	sino
77000095-n	tgl:exe	Sino ang kumakanta? Ang mga bata ang kumakanta.
90000500-n	tgl:lemma	noong isa pang taon
90000500-n	tgl:exe	Estudyante pa ako noong isa pang taon.
03221720-n	tgl:lemma	pinto
03221720-n	tgl:exe	Wala bang pinto sa kuwarto mo?
03221720-n	tgl:lemma	pinto
03221720-n	tgl:exe	Hindi siya kumatok sa pinto bago pumasok.\n
00050681-r	tgl:lemma	wala
00050681-r	tgl:exe	Wala ho ngayon. 
00024587-r	tgl:lemma	wala
00024587-r	tgl:exe	Wala ho ngayon. 
77000012-n	tgl:lemma	ako
77000012-n	tgl:exe	Hindi ako gutom.
77000015-n	tgl:lemma	ako
77000015-n	tgl:exe	Hindi ako gutom.
01344963-a	tgl:lemma	walang kuwenta
01344963-a	tgl:exe	Walang kuwentang kausap ang binatang iyon.\n
01170052-v	tgl:lemma	uminom
01170052-v	tgl:exe	Uminom ka ng gamot para sa lagnat.\n
03282295-n	tgl:lemma	embahada
03282295-n	tgl:exe	Kailangan kong pumunta nang maaga sa embahada bukas.\n
14145501-n	tgl:lemma	sipon
14145501-n	tgl:exe	May sipon ka ba?\n
06796119-n	tgl:lemma	selyo
06796119-n	tgl:exe	Magkano ang kailangang selyo para dito?\n
07775375-n	tgl:lemma	isda
07775375-n	tgl:exe	Kumain ho ako ng isda at tahong.
02512053-n	tgl:lemma	isda
02512053-n	tgl:exe	Kumain ho ako ng isda at tahong.
01586866-a	tgl:lemma	mabuti
01586866-a	tgl:exe	Mas mabuting magpasalamat ka kay Carmen.　　　　　　　　　　　　　　　　
01048762-a	tgl:lemma	mabuti
01048762-a	tgl:exe	Mas mabuting magpasalamat ka kay Carmen.　　　　　　　　　　　　　　　　
00067638-a	tgl:lemma	mabuti
00067638-a	tgl:exe	Mas mabuting magpasalamat ka kay Carmen.　　　　　　　　　　　　　　　　
01993408-a	tgl:lemma	mabuti
01993408-a	tgl:exe	Mas mabuting magpasalamat ka kay Carmen.　　　　　　　　　　　　　　　　
01171213-a	tgl:lemma	mabuti
01171213-a	tgl:exe	Mas mabuting magpasalamat ka kay Carmen.　　　　　　　　　　　　　　　　
01800349-a	tgl:lemma	mabuti
01800349-a	tgl:exe	Mas mabuting magpasalamat ka kay Carmen.　　　　　　　　　　　　　　　　
01123148-a	tgl:lemma	mabuti
01123148-a	tgl:exe	Mas mabuting magpasalamat ka kay Carmen.　　　　　　　　　　　　　　　　
00064787-a	tgl:lemma	mabuti
00064787-a	tgl:exe	Mas mabuting magpasalamat ka kay Carmen.　　　　　　　　　　　　　　　　
00850183-a	tgl:lemma	mabuti
00850183-a	tgl:exe	Mas mabuting magpasalamat ka kay Carmen.　　　　　　　　　　　　　　　　
01129977-a	tgl:lemma	mabuti
01129977-a	tgl:exe	Mas mabuting magpasalamat ka kay Carmen.　　　　　　　　　　　　　　　　
01586752-a	tgl:lemma	mabuti
01586752-a	tgl:exe	Mas mabuting magpasalamat ka kay Carmen.　　　　　　　　　　　　　　　　
04588365-n	tgl:lemma	bintana
04588365-n	tgl:exe	Nakadungaw sa bintana ang mga dalaga.\n
04587648-n	tgl:lemma	bintana
04587648-n	tgl:exe	Nakadungaw sa bintana ang mga dalaga.\n
05216365-n	tgl:lemma	katawan
05216365-n	tgl:exe	Malakas ang katawan niya.
76100002-x	tgl:lemma	piraso
76100002-x	tgl:exe	Ilang pirasong papel ang kailangan mo?\n
04967191-n	tgl:lemma	berde
04967191-n	tgl:exe	Berde ang mga dahon sa tag-init.\n
80001047-v	tgl:lemma	mamatay
80001047-v	tgl:exe	Namatay si Rizal para sa bansa natin.
03497657-n	tgl:lemma	sumbrero
03497657-n	tgl:exe	Malaki ang sumbrero ng magsasaka.\n
15129927-n	tgl:lemma	alas
15129927-n	tgl:exe	O magkita tayo sa laybrari mamayang alas tres!
06359877-n	tgl:lemma	pangungusap
06359877-n	tgl:exe	Hindi ko maintindihan ang pangungusap na ito.\n
00546389-n	tgl:lemma	kanta
00546389-n	tgl:exe	Gustung-gusto ko talaga ang mga kanta ni Jaya.\n
07048000-n	tgl:lemma	kanta
07048000-n	tgl:exe	Gustung-gusto ko talaga ang mga kanta ni Jaya.\n
01754737-v	tgl:lemma	maggupit
01754737-v	tgl:exe	Nagpagupit ka pala!
07447641-n	tgl:lemma	parti
07447641-n	tgl:exe	Hindi ako mahilig pumunta sa mga parti.\n
01842204-v	tgl:lemma	lumabas
01842204-v	tgl:exe	Oo nga. Pag may baha, huwag tayong lumabas. 
04241394-n	tgl:lemma	tsinelas
04241394-n	tgl:exe	Magtsinelas ka dito.
05301908-n	tgl:lemma	bunganga
05301908-n	tgl:exe	Isara mo ang bunganga mo at baka pasukan ng langaw.\n
02440250-n	tgl:lemma	kamay
02440250-n	tgl:exe	Higpitan mo ang hawak sa kamay ng anak mo.\n
09823502-n	tgl:lemma	tita
09823502-n	tgl:exe	Baka tumanda kang dalaga tulad nina Tita Maria at Tita Rosa.
10193967-n	tgl:lemma	asawa
10193967-n	tgl:exe	Para ho sa asawa ko.
15213406-n	tgl:lemma	Nobyembre
15213406-n	tgl:exe	Aalis ako sa Nobyembre sa Amerika.
06277280-n	tgl:lemma	telebisyon
06277280-n	tgl:exe	Nasira ang telebisyon namin kahapon.
13831176-n	tgl:lemma	hilaga
13831176-n	tgl:exe	Nasa hilaga ng Luzon ang Ilocos.\n
06964901-n	tgl:lemma	wikang Pranses
06964901-n	tgl:exe	Nag-aral ako ng wikang Pranses noong hayskul.\n
01318741-a	tgl:lemma	masakit
01318741-a	tgl:exe	Masakit ang tiyan ko.
01712753-a	tgl:lemma	masakit
01712753-a	tgl:exe	Masakit ang tiyan ko.
05395690-n	tgl:lemma	tiyan
05395690-n	tgl:exe	Malaki ang tiyan ng pulis sa kanto.\n
05556943-n	tgl:lemma	tiyan
05556943-n	tgl:exe	Malaki ang tiyan ng pulis sa kanto.\n
02324478-v	tgl:lemma	idagdag
02324478-v	tgl:exe	Idinagdag mo ba rito ang bayad sa kuryente?\n
00640828-v	tgl:lemma	idagdag
00640828-v	tgl:exe	Idinagdag mo ba rito ang bayad sa kuryente?\n
00182406-v	tgl:lemma	idagdag
00182406-v	tgl:exe	Idinagdag mo ba rito ang bayad sa kuryente?\n
00749230-a	tgl:lemma	madali
00749230-a	tgl:exe	Madali lang pala!
14061805-n	tgl:lemma	sakit
14061805-n	tgl:exe	Maraming sakit ang makukuha sa maruming ilog.\n
14055408-n	tgl:lemma	sakit
14055408-n	tgl:exe	Maraming sakit ang makukuha sa maruming ilog.\n
14473054-n	tgl:lemma	sakit
14473054-n	tgl:exe	Maraming sakit ang makukuha sa maruming ilog.\n
10399491-n	tgl:lemma	magulang
10399491-n	tgl:exe	Mauunawaan mo rin ito kapag naging magulang ka na.\n
13833375-n	tgl:lemma	timog
13833375-n	tgl:exe	Ang ibon ay lumipad na patimog.
02472293-n	tgl:lemma	tao
02472293-n	tgl:exe	Ang lahat ng tao ay mamamatay.
15212167-n	tgl:lemma	Hulyo
15212167-n	tgl:exe	Maulan pa rin sa Hulyo.\n
00442917-a	tgl:lemma	malayo
00442917-a	tgl:exe	Mas malayo pa ho iyon kaysa sa Sagada.
01421622-v	tgl:lemma	ilagay
01421622-v	tgl:exe	Tapos ilagay mo ang mga gulay na nahiwa na.
03398467-n	tgl:lemma	harap
03398467-n	tgl:exe	Pumara na lang kayo sa harap ng bilding.
00964768-a	tgl:lemma	mahina
00964768-a	tgl:exe	Mukhang mahina ang katawan ng manlalarong iyon.\n
02324397-a	tgl:lemma	mahina
02324397-a	tgl:exe	Mukhang mahina ang katawan ng manlalarong iyon.\n
00709215-a	tgl:lemma	mahina
00709215-a	tgl:exe	Mukhang mahina ang katawan ng manlalarong iyon.\n
02040233-a	tgl:lemma	mahina
02040233-a	tgl:exe	Mukhang mahina ang katawan ng manlalarong iyon.\n
02040049-a	tgl:lemma	mahina
02040049-a	tgl:exe	Mukhang mahina ang katawan ng manlalarong iyon.\n
00254978-r	tgl:lemma	buwan-buwan
00254978-r	tgl:exe	Mahal ang renta ng bahay dito buwan-buwan.\n
77000091-n	tgl:lemma	ano
77000091-n	tgl:exe	Ano po iyon?
06605897-n	tgl:lemma	kahulugan
06605897-n	tgl:exe	Ano ang kahulugan nito?\n
05919866-n	tgl:lemma	kahulugan
05919866-n	tgl:exe	Ano ang kahulugan nito?\n
06601327-n	tgl:lemma	kahulugan
06601327-n	tgl:exe	Ano ang kahulugan nito?\n
04059701-n	tgl:lemma	likod
04059701-n	tgl:exe	May ilog sa likod ng bahay namin.\n
02767665-n	tgl:lemma	likod
02767665-n	tgl:exe	May ilog sa likod ng bahay namin.\n
03540595-n	tgl:lemma	ospital
03540595-n	tgl:exe	Ayaw kong pumunta sa ospital.
08054417-n	tgl:lemma	ospital
08054417-n	tgl:exe	Ayaw kong pumunta sa ospital.
05311054-n	tgl:lemma	mata
05311054-n	tgl:exe	Malabo ang mata ng lola ko.
05316025-n	tgl:lemma	mata
05316025-n	tgl:exe	Malabo ang mata ng lola ko.
02871439-n	tgl:lemma	bookshelf
02871439-n	tgl:exe	Maalikabok ang bookshelf sa bahay.\n
01186408-a	tgl:lemma	magaan
01186408-a	tgl:exe	Magaan ang balahibo ng manok.\n
04049098-n	tgl:lemma	istasyon ng tren
04049098-n	tgl:exe	May bomba daw sa istasyon ng tren.\n
03030663-n	tgl:lemma	sigarilyo
03030663-n	tgl:exe	Mura lang ang sigarilyo sa tindahan sa kanto.\n
02230772-v	tgl:lemma	iabot
02230772-v	tgl:exe	Iabot mo nga ang asin.
90000504-n	tgl:lemma	sa isa pang taon
90000504-n	tgl:exe	Sa isa pang taon ang kasal ng pinsan ko.\n
00729108-n	tgl:lemma	homework
00729108-n	tgl:exe	Marami kaming homework sa Physics.\n
03815615-n	tgl:lemma	kurbata
03815615-n	tgl:exe	Mura ang kurbatang nabili ko.\n
07596684-n	tgl:lemma	mga matamis
07596684-n	tgl:exe	Hindi ako mahilig sa mga matamis.
05560787-n	tgl:lemma	paa
05560787-n	tgl:exe	Hindi, dahil sumakit ang paa ko, eh.
05563266-n	tgl:lemma	paa
05563266-n	tgl:exe	Hindi, dahil sumakit ang paa ko, eh.
15211189-n	tgl:lemma	Abril
15211189-n	tgl:exe	Pupunta ako sa Pilipinas sa Abril.\n
02310007-v	tgl:lemma	ibalik
02310007-v	tgl:exe	O sige, pero puwede bang ibalik mo ito sa katapusan ng buwan?
01308381-v	tgl:lemma	ibalik
01308381-v	tgl:exe	O sige, pero puwede bang ibalik mo ito sa katapusan ng buwan?
80001595-v	tgl:lemma	ibalik
80001595-v	tgl:exe	O sige, pero puwede bang ibalik mo ito sa katapusan ng buwan?
10080869-n	tgl:lemma	tatay
10080869-n	tgl:exe	Para kina Tatay at Nanay ito.
10080869-n	tgl:lemma	tatay
10080869-n	tgl:exe	Magaling magmaneho ang tatay ko.
02411224-a	tgl:lemma	mataba
02411224-a	tgl:exe	Kaya ka pala mataba!
04446276-n	tgl:lemma	CR
04446276-n	tgl:exe	May bayad ang paggamit ng CR sa Glorietta.\n
04555291-n	tgl:lemma	CR
04555291-n	tgl:exe	May bayad ang paggamit ng CR sa Glorietta.\n
15212455-n	tgl:lemma	Agosto
15212455-n	tgl:exe	Mainit sa Hapon sa Agosto.\n
00292937-a	tgl:lemma	bisi
00292937-a	tgl:exe	Palaging bisi sa trabaho ang tatay ni Richard.\n
00273082-a	tgl:lemma	madilim
00273082-a	tgl:exe	Natatakot akong maglakad sa madilim na kalye.\n
03291819-n	tgl:lemma	sobre
03291819-n	tgl:exe	Ilang sobre ang ipapadala mo sa kanila?\n
80001545-n	tgl:lemma	katabi
80001545-n	tgl:exe	Katabi ng Bangko ang Mcdo.\n
09215315-n	tgl:lemma	ibaba
09215315-n	tgl:exe	Nasa ibaba ang pustiso ni Nanay.\n
80001661-n	tgl:lemma	ibaba
80001661-n	tgl:exe	Nasa ibaba ang pustiso ni Nanay.\n
00523513-n	tgl:lemma	isports
00523513-n	tgl:exe	Hindi ako mahilig sa isports.\n
03179701-n	tgl:lemma	mesa
03179701-n	tgl:exe	Malaki ang mesa ko sa bahay.\n
04202417-n	tgl:lemma	tindahan
04202417-n	tgl:exe	Mura lang ang sigarilyo sa tindahan sa kanto.\n
02016062-v	tgl:lemma	bumaba
02016062-v	tgl:exe	Pagdating sa Quiapo, bumaba ka sa may simbahan.\n
15237782-n	tgl:lemma	taglamig
15237782-n	tgl:exe	Sinisipon ako tuwing taglamig.\n
80001691-n	tgl:lemma	ibabaw
80001691-n	tgl:exe	Nasa ibabaw ng tokador.
08663354-n	tgl:lemma	ibabaw
08663354-n	tgl:exe	Nasa ibabaw ng tokador.
07804323-n	tgl:lemma	kanin
07804323-n	tgl:exe	Gusto ko ng malagkit na kanin.
15245990-n	tgl:lemma	kanin
15245990-n	tgl:exe	Gusto ko ng malagkit na kanin.
90000417-n	tgl:lemma	kanin
90000417-n	tgl:exe	Gusto ko ng malagkit na kanin.
07575076-n	tgl:lemma	tanghalian
07575076-n	tgl:exe	Hindi ako kumakain ng tanghalian.\n
15156001-n	tgl:lemma	ngayon
15156001-n	tgl:exe	Maulap ngayon, kaya hindi mainit.
09604981-n	tgl:lemma	sarili
09604981-n	tgl:exe	Tignan mong mabuti ang iyong sarili sa salamin.\n
07557434-n	tgl:lemma	luto
07557434-n	tgl:exe	Anong luto ang gusto mo sa baboy?\n
02395115-a	tgl:lemma	masarap
02395115-a	tgl:exe	Masarap ang talbos ng kamote.
02396720-a	tgl:lemma	masarap
02396720-a	tgl:exe	Masarap ang talbos ng kamote.
