Code	en	ms	my	ja
1.10	Matters	Hal	အကြောင်း	事柄
1.11	Classification	Penggolongan	အမျိုးအစား	類
1.12	Existence	Kewujudan	တည်ရှိခြင်း	存在
1.13	Characters	Ciri	အခြေအနေ	様相
1.14	Power	Kuasa	အား	力
1.15	Action	Perbuatan	သက်ရောက်မှု	作用
1.16	Time	Masa	အချိန်ကာလ	時間
1.17	Space	Ruang	ကြားခံလေဟာနယ်	空間
1.18	Shape	Bentuk	ပုံသဏ္ဌာန်	形
1.19	Volume	Jumlah	ပမာဏ	量
1.20	Human	Orang	လူပုဂ္ဂိုလ်	人間
1.21	Family	Keluarga	မိသားစု	家族
1.22	Friends	Kawan	အပေါင်းအဖော်	仲間
1.23	People	Watak	ပုဂ္ဂိုလ်	人物
1.24	Membership	Keanggotaan	သက်ဆိုင်ရာအုပ်စုဝင်	成員
1.25	Public and private matters	Awam dan swasta	အများဆိုင်ရာနှင့်ကိုယ်ရေးကိုယ်တာ	公私
1.26	Society	Masyarakat	လူ့ဘောင်	社会
1.27	Institutions	Institusi	ယန္တယား	機関
1.30	Mind	Minda	စိတ်နေစိတ်ထား	心
1.31	Language	Bahasa	ဘာသာစကား	言語
1.32	Arts	Seni	အနုပညာ	芸術
1.33	Living	Kehidupan	နေထိုင်စားသောက်မှုဘဝ	生活
1.34	Activities	Kegiatan	အပြုအမူ	行為
1.35	Interaction	Pergaulan	ဆက်ဆံရေး	交わり
1.36	Treatment	Layanan	ဆက်ဆံပြုမူခြင်း	待遇
1.37	Economy	Ekonomi	စီးပွားရေး	経済
1.38	Business	Urusan	လုပ်ဆောင်မှု	事業
1.40	Goods	Barang	ပစ္စည်း	物品
1.41	Materials	Benda	ကုန်ကြမ်းပစ္စည်း	資材
1.42	Clothes	Pakaian	အဝတ်အစား	衣料
1.43	Food	Makanan	စားသောက်ကုန်	食料
1.44	Housing	Perumahan	နေအိမ်	住居
1.45	Tools	Alat	ကိရိယာ	道具
1.46	Machines	Mesin	စက်	機械
1.47	Land use	Penggunaan tanah	မြေနေရာအသုံးပြုခြင်း	土地利用
1.50	Nature	Alam semula jadi	သဘာဝ	自然
1.51	Substances	Bahan	ပစ္စည်းဥစ္စာ	物質
1.52	Earth	Bumi	စကြာဝဠာကမ္ဘာမြေ	天地
1.53	Living creatues	Benda hidup	သတ္တဝါ	生物
1.54	Plants	Tumbuhan	ရုက္ခ	植物
1.55	Animals	Haiwan	တိရစ္တာန်	動物
1.56	Body	Tubuh badan	ကိုယ်ခန္ဓာ	身体
1.57	Life	Nyawa	ဘဝအသက်	生命
2.10	Truth	Benar dan salah	အတုနှင့်အစစ်	真偽
2.11	Classification	Penggolongan	အမျိုးအစား	類
2.12	Existence	Kewujudan	တည်ရှိခြင်း	存在
2.13	Existence	Ciri	အခြေအနေ	様相
2.14	Power	Kuasa	အား	力
2.15	Action	Perbuatan	သက်ရောက်မှု	作用
2.16	Time	Masa	အချိန်ကာလ	時間
2.17	Space	Ruang	ကြားခံလေဟာနယ်	空間
2.19	Volume	Jumlah	ပမာဏ	量
2.30	Mind	Minda	စိတ်နေစိတ်ထား	心
2.31	Language	Bahasa	ဘာသာစကား	言語
2.32	Arts	Seni	အနုပညာ	芸術
2.33	Living	Kehidupan	နေထိုင်စားသောက်မှုဘဝ	生活
2.34	Activities	Kegiatan	အပြုအမူ	行為
2.35	Interaction	Pergaulan	ဆက်ဆံရေး	交わり
2.36	Treatment	Layanan	ဆက်ဆံပြုမူခြင်း	待遇
2.37	Economy	Ekonomi	စီးပွားရေး	経済
2.38	Business	Urusan	လုပ်ဆောင်မှု	事業
2.50	Nature	Alam semula jadi	သဘာဝ	自然
2.51	Substances	Bahan	ပစ္စည်းဥစ္စာ	物質
2.52	Earth	Bumi	စကြာဝဠာကမ္ဘာမြေ	天地
2.56	Body	Tubuh badan	ကိုယ်ခန္ဓာ	身体
2.57	Life	Nyawa	ဘဝသက်တမ်း	生命
3.10	Truth	Benar dan salah	အတုနှင့်အစစ်	真偽
3.11	Classification	Penggolongan	အမျိုးအစား	類
3.12	Existence	Kewujudan	တည်ရှိခြင်း	存在
3.13	Characters	Ciri	အခြေအနေ	様相
3.14	Power	Kuasa	အား	力
3.15	Action	Perbuatan	သက်ရောက်မှု	作用
3.16	Time	Masa	အချိန်ကာလ	時間
3.17	Space	Ruang	ကြားခံလေဟာနယ်	空間
3.18	Shape	Bentuk	ပုံသဏ္ဌာန်	形
3.19	Volume	Jumlah	ပမာဏ	量
3.30	Mind	Minda	စိတ်နေစိတ်ထား	心
3.31	Language	Bahasa	ဘာသာစကား	言語
3.33	Living	Kehidupan	နေထိုင်စားသောက်မှုဘဝ	生活
3.34	Activities	Kegiatan	အပြုအမူ	行為
3.35	Interaction	Pergaulan	ဖလှယ်ခြင်း	交わり
3.36	Treatment	Layanan	ဆက်ဆံပြုမူခြင်း	待遇
3.37	Economy	Ekonomi	စီးပွားရေး	経済
3.50	Nature	Alam semula jadi	သဘာဝ	自然
3.51	Substances	Bahan	ပစ္စည်းဥစ္စာ	物質
3.52	Earth	Bumi	စကြာဝဠာကမ္ဘာမြေ	天地
3.53	Living creatues	Benda hidup	သတ္တဝါ	生物
3.56	Body	Tubuh badan	ကိုယ်ခန္ဓာ	身体
3.57	Life	Nyawa	ဘဝသက်တမ်း	生命
4.11	Connection	Hubungan	ကြားဆက်	接続
4.30	Emotion	Emosi	စိတ်ခံစားမှု	感動
4.31	Judgement	Penilaian	ဆုံးဖြတ်	判断
4.32	Address	Panggilan	ခေါ်ဝေါ်	呼び掛け
4.33	Greeting	Ucapan	နှုတ်ဆက်	挨拶
4.50	Animal calls	Bunyi haiwan	တိရစ္တာန်များ၏အော်မြည်သံ	動物の鳴き声
